indivname,ObsSex,Age,Length,DataType
Age4_HIP_5463,1,4,51,Wild
Age4_HIP_5490,2,4,83,Wild
Age4_HIP_5498,2,4,78,Wild
Age4_HIP_5513,2,4,49,Wild
Age4_HIP_5517,1,4,38,Wild
Age4_HIP_5520,2,4,65,Wild
Age4_HIP_5525,1,4,34,Wild
Age4_HIP_5530,1,4,38,Wild
Age4_HIP_5533,1,4,60,Wild
Age4_HIP_91,1,4,44,Wild
Age4_HIP_93,2,4,45,Wild
Age6_HYP_132,2,6,108,Wild
Age6_HYP_163,1,6,83,Wild
Age6_HYP_177,2,6,90,Wild
Age6_HYP_187,1,6,92,Wild
Age6_HYP_251,1,6,114,Wild
Age6_HYP_265,1,6,105,Wild
Age6_HYP_488,2,6,84,Wild
Age6_HYP_540,2,6,103,Wild
Age6_HYP_599,1,6,100,Wild
Age6_HYP_731,1,6,108,Wild
Age6_HYP_91,2,6,105,Wild
Age8_HYP_102,1,8,88,Wild
Age8_HYP_197,1,8,113,Wild
Age8_HYP_250,2,8,125,Wild
Age8_HYP_530,2,8,96,Wild
Age8_HYP_593,2,8,107,Wild
Age8_HYP_618,2,8,92,Wild
Age8_HYP_621,1,8,108,Wild
Age8_HYP_639,1,8,100,Wild
Age8_HYP_732,1,8,112,Wild
Age8_HYP_735,1,8,120,Wild
Age8_HYP_90,2,8,99,Wild
Age10_HYP_10,2,10,111,Wild
Age10_HYP_164,1,10,94,Wild
Age10_HYP_266,2,10,114,Wild
Age10_HYP_47,1,10,98,Wild
Age10_HYP_494,2,10,143,Wild
Age10_HYP_52,1,10,94,Wild
Age10_HYP_526,2,10,122,Wild
Age10_HYP_531,2,10,154,Wild
Age10_HYP_544,1,10,118,Wild
Age10_HYP_568,1,10,83,Wild
Age10_HYP_645,1,10,120,Wild
Age12_HYP_135,1,12,112,Wild
Age12_HYP_165,1,12,111,Wild
Age12_HYP_211,2,12,145,Wild
Age12_HYP_224,2,12,146,Wild
Age12_HYP_227,1,12,90,Wild
Age12_HYP_236,2,12,130,Wild
Age12_HYP_502,2,12,135,Wild
Age12_HYP_517,2,12,128,Wild
Age12_HYP_572,1,12,94,Wild
Age12_HYP_603,1,12,121,Wild
Age12_HYP_610,1,12,115,Wild
Age15_HYP_125,1,15,99,Wild
Age15_HYP_157,1,15,110,Wild
Age15_HYP_198,2,15,171,Wild
Age15_HYP_209,1,15,108,Wild
Age15_HYP_232,2,15,100,Wild
Age15_HYP_255,1,15,103,Wild
Age15_HYP_35,1,15,103,Wild
Age15_HYP_550,2,15,136,Wild
Age15_HYP_590,2,15,161,Wild
Age15_HYP_9,1,15,98,Wild
Age15_HYP_98,2,15,146,Wild
Age16_HIP_1743,2,16,126,Wild
Age16_HIP_1810,2,16,175,Wild
Age16_HYP_89,2,16,170,Wild
Age16_HYP_114,1,16,113,Wild
Age16_HYP_205,1,16,94,Wild
Age16_HYP_242,1,16,118,Wild
Age16_HIP_3157,2,16,175,Wild
Age16_HIP_1758,1,16,131,Wild
Age16_HIP_1387,2,16,125,Wild
Age16_HIP_1401,1,16,98,Wild
Age16_HIP_1414,2,16,180,Wild
Age16_HIP_5348,2,16,161,Wild
Age16_HIP_1985,2,16,191,Wild
Age16_HIP_1717,1,16,95,Wild
Age17_HYP_110,1,17,119,Wild
Age17_HYP_156,1,17,114,Wild
Age17_HYP_162,1,17,118,Wild
Age17_HIP_3148,2,17,162,Wild
Age17_HIP_3150,2,17,136,Wild
Age17_HIP_1753,2,17,209,Wild
Age17_HIP_3019,2,17,156,Wild
Age18_HYP_551,2,18,173,Wild
Age18_HYP_560,1,18,120,Wild
Age18_HYP_589,1,18,123,Wild
Age18_HYP_772,1,18,120,Wild
Age18_HIP_6325,1,18,82,Wild
Age18_HIP_1724,2,18,125,Wild
Age18_HIP_3051,2,18,169,Wild
Age18_HIP_3058,1,18,127,Wild
Age18_HIP_5336,2,18,194,Wild
Age19_HIP_1300,1,19,132,Wild
Age19_HYP_108,1,19,123,Wild
Age19_HIP_1454,2,19,179,Wild
Age19_LLNS18_3608,2,19,198,Wild
Age20_HIP_5369,2,20,193,Wild
Age21_HIP_5056,1,21,98,Wild
Age21_HIP_4234,1,21,110,Wild
Age23_HIP_1716,2,23,180,Wild
Age23_HIP_2753,1,23,126,Wild
Age29_HIP_6730,2,29,236,Wild
Age23_0009,2,23,NA,Hatchery
Age23_0010,2,23,NA,Hatchery
Age23_0019,2,23,NA,Hatchery
Age23_0022,2,23,NA,Hatchery
Age23_0048,2,23,NA,Hatchery
Age23_0066,2,23,NA,Hatchery
Age4_0020,2,4,NA,Hatchery
Age4_0033,2,4,NA,Hatchery
Age4_0035,2,4,NA,Hatchery
Age4_0049,2,4,NA,Hatchery
Age4_0055,2,4,NA,Hatchery
Age4_0070,2,4,NA,Hatchery
Age8_0013,2,8,NA,Hatchery
Age8_0025,2,8,NA,Hatchery
Age8_0032,2,8,NA,Hatchery
Age8_0046,2,8,NA,Hatchery
Age8_0056,2,8,NA,Hatchery
Age8_0071,2,8,NA,Hatchery
