SampleID,Trip Number,Fish Number,ObsSex,Length,Date,Lat,Long,DatasheetType,PrivateData,OtoAge,SampYear,OtolithObs,OtolithMounted
21-SS-HIP-5445,CAR2021241,2,2,38,05-Jul-21,42.73016667,66.13533333,2021_RV,FALSE,2,2021,TRUE,TRUE
21-SS-HIP-5499,CAR2021241,8,1,35,08-Jul-21,41.92433333,66.69633333,2021_RV,FALSE,2,2021,TRUE,TRUE
21-SS-HIP-083,TEL2021002,2,2,25,17-Mar-21,41.89766667,66.7985,2021_RV,FALSE,3,2021,TRUE,TRUE
21-SS-HIP-088,TEL2021002,7,2,25,19-Mar-21,42.084,66.647,2021_RV,FALSE,3,2021,TRUE,TRUE
21-SS-HIP-089,TEL2021002,8,2,44,20-Mar-21,41.847,65.8765,2021_RV,FALSE,3,2021,TRUE,TRUE
21-SS-HIP-090,TEL2021002,9,2,46,20-Mar-21,41.847,65.8765,2021_RV,FALSE,3,2021,TRUE,TRUE
21-SS-HIP-5454,CAR2021241,3,2,41,05-Jul-21,42.8055,65.97383333,2021_RV,FALSE,3,2021,TRUE,TRUE
21-SS-HIP-5472,CAR2021241,5,2,35,05-Jul-21,42.8055,65.97383333,2021_RV,FALSE,3,2021,TRUE,TRUE
21-SS-HIP-5481,CAR2021241,6,2,35,05-Jul-21,42.8055,65.97383333,2021_RV,FALSE,3,2021,TRUE,TRUE
21-SS-HIP-5510,CAR2021240,3,1,38,29-Jul-21,42.58816667,65.36683333,2021_RV,FALSE,3,2021,TRUE,TRUE
21-SS-HIP-5511,CAR2021240,4,2,55,29-Jul-21,42.58816667,65.36683333,2021_RV,FALSE,3,2021,TRUE,TRUE
21-SS-HIP-5514,CAR2021240,6,1,39,29-Jul-21,42.58816667,65.36683333,2021_RV,FALSE,3,2021,TRUE,TRUE
21-SS-HIP-5524,CAR2021240,16,1,26,31-Jul-21,45.01633333,65.30983333,2021_RV,FALSE,3,2021,TRUE,TRUE
22-SS-HIP-0017,CAB2022010,15,2,25,22-Jul-22,42.7985,65.96783333,2022_RVSurvey,FALSE,3,2022,TRUE,FALSE
22-SS-HIP-0026,CAB2022010,24,2,36,03-Aug-22,42.857,64.598,2022_RVSurvey,FALSE,3,2022,TRUE,FALSE
22-SS-HIP-0028,CAB2022010,26,2,37,05-Aug-22,43.52066667,62.46716667,2022_RVSurvey,FALSE,3,2022,TRUE,FALSE
23-SS-HIP-0474,TEL2023010,149,2,35,24-Jul-23,44.08766667,61.11133333,2023_RVSurvey,FALSE,3,2023,TRUE,FALSE
21-SS-HIP-4514,J21-9010,15,2,85,18-Jun-21,43.28567,-66.47917,2021_FishMorph_HalibutSurvey,TRUE,4,2021,TRUE,TRUE
21-SS-HIP-084,TEL2021002,3,2,27,17-Mar-21,41.89766667,66.7985,2021_RV,FALSE,4,2021,TRUE,TRUE
21-SS-HIP-086,TEL2021002,5,2,24,17-Mar-21,42.10466667,66.80183333,2021_RV,FALSE,4,2021,TRUE,TRUE
21-SS-HIP-087,TEL2021002,6,2,23,18-Mar-21,42.11533333,66.6945,2021_RV,FALSE,4,2021,TRUE,TRUE
21-SS-HIP-092,TEL2021002,11,2,45,27-Mar-21,42.15316667,66.50533333,2021_RV,FALSE,4,2021,TRUE,TRUE
21-SS-HIP-093,TEL2021002,12,2,45,27-Mar-21,42.15316667,66.50533333,2021_RV,FALSE,4,2021,TRUE,TRUE
21-SS-HIP-094,TEL2021002,13,2,75,27-Mar-21,42.15316667,66.50533333,2021_RV,FALSE,4,2021,TRUE,TRUE
21-SS-HIP-5436,CAR2021241,1,2,88,05-Jul-21,42.73016667,66.13533333,2021_RV,FALSE,4,2021,TRUE,TRUE
21-SS-HIP-5463,CAR2021241,4,1,51,05-Jul-21,42.8055,65.97383333,2021_RV,FALSE,4,2021,TRUE,TRUE
21-SS-HIP-5490,CAR2021241,7,2,83,05-Jul-21,42.70233333,66.26183333,2021_RV,FALSE,4,2021,TRUE,TRUE
21-SS-HIP-5498,CAR2021241,11,2,78,10-Jul-21,42.869,64.32133333,2021_RV,FALSE,4,2021,TRUE,TRUE
21-SS-HIP-5508,CAR2021241,9,2,31,08-Jul-21,41.92433333,66.69633333,2021_RV,FALSE,4,2021,TRUE,TRUE
21-SS-HIP-5513,CAR2021240,5,2,49,29-Jul-21,42.58816667,65.36683333,2021_RV,FALSE,4,2021,TRUE,TRUE
21-SS-HIP-5515,CAR2021240,7,1,37,29-Jul-21,42.58816667,65.36683333,2021_RV,FALSE,4,2021,TRUE,TRUE
21-SS-HIP-5516,CAR2021240,8,1,40,29-Jul-21,42.58816667,65.36683333,2021_RV,FALSE,4,2021,TRUE,TRUE
21-SS-HIP-5517,CAR2021240,9,1,38,30-Jul-21,42.51866667,65.80316667,2021_RV,FALSE,4,2021,TRUE,TRUE
21-SS-HIP-5520,CAR2021240,12,2,65,31-Jul-21,43.90483333,66.58233333,2021_RV,FALSE,4,2021,TRUE,TRUE
21-SS-HIP-5521,CAR2021240,13,2,50,31-Jul-21,43.90483333,66.58233333,2021_RV,FALSE,4,2021,TRUE,TRUE
21-SS-HIP-5523,CAR2021240,15,2,42,31-Jul-21,45.01633333,65.30983333,2021_RV,FALSE,4,2021,TRUE,TRUE
21-SS-HIP-5525,CAR2021240,17,1,34,01-Aug-21,45.14166667,65.5685,2021_RV,FALSE,4,2021,TRUE,TRUE
21-SS-HIP-5527,CAR2021240,21,2,75,05-Aug-21,44.171,66.8345,2021_RV,FALSE,4,2021,TRUE,TRUE
