Indiv,indivname,Barcode,Sex,Age
MethylWild2023-Age4-HIP-5533,Age4_HIP_5533,Barcode1,1,4
MethylWild2023-Age15-HYP-157,Age15_HYP_157,Barcode2,1,15
MethylWild2023-Age4-HIP-5530,Age4_HIP_5530,Barcode3,1,4
MethylWild2023-Age4-HIP-5463,Age4_HIP_5463,Barcode4,1,4
MethylWild2023-Age4-HIP-5513,Age4_HIP_5513,Barcode5,2,4
MethylWild2023-Age4-HIP-5498,Age4_HIP_5498,Barcode6,2,4
MethylWild2023-Age6-HYP-187,Age6_HYP_187,Barcode7,1,6
MethylWild2023-Age6-HYP-731,Age6_HYP_731,Barcode8,1,6
MethylWild2023-Age6-HYP-177,Age6_HYP_177,Barcode9,2,6
MethylWild2023-Age6-HYP-91,Age6_HYP_91,Barcode10,2,6
MethylWild2023-Age8-HYP-639,Age8_HYP_639,Barcode11,1,8
MethylWild2023-Age8-HYP-732,Age8_HYP_732,Barcode12,1,8
MethylWild2023-Age8-HYP-593,Age8_HYP_593,Barcode13,2,8
MethylWild2023-Age10-HYP-52,Age10_HYP_52,Barcode14,1,10
MethylWild2023-Age10-HYP-544,Age10_HYP_544,Barcode15,1,10
MethylWild2023-Age10-HYP-266,Age10_HYP_266,Barcode16,2,10
MethylWild2023-Age10-HYP-494,Age10_HYP_494,Barcode17,2,10
MethylWild2023-Age12-HYP-165,Age12_HYP_165,Barcode18,1,12
MethylWild2023-Age12-HYP-236,Age12_HYP_236,Barcode19,2,12
MethylWild2023-Age12-HYP-211,Age12_HYP_211,Barcode20,2,12
MethylWild2023-Age15-HYP-35,Age15_HYP_35,Barcode21,1,15
MethylWild2023-Age15-HYP-550,Age15_HYP_550,Barcode22,2,15
MethylWild2023-Age15-HYP-590,Age15_HYP_590,Barcode23,2,15
