RefAge,TestAge,N
2,2,4
3,3,5
3,4,1
4,4,9
4,5,2
5,4,1
5,5,4
5,6,2
5,7,1
6,5,4
6,6,9
6,7,6
6,9,1
7,6,3
7,7,11
7,8,3
7,9,1
7,13,1
8,6,1
8,7,7
8,8,12
8,9,6
8,10,2
9,7,1
9,8,7
9,9,9
9,10,4
9,12,2
9,13,1
10,8,2
10,9,6
10,10,8
10,11,3
10,12,1
10,13,1
11,8,1
11,9,5
11,10,4
11,11,7
11,12,3
12,9,1
12,10,3
12,12,4
12,13,3
12,14,1
13,10,1
13,11,1
13,12,3
13,13,4
13,14,1
13,15,1
14,13,5
14,15,2
14,21,1
15,12,1
15,13,1
15,14,1
15,15,1
15,16,1
15,18,1
16,11,1
16,15,1
16,16,1
16,17,1
17,16,1
17,21,1
18,20,1
19,10,1
19,14,1
19,18,1
19,19,1
20,22,1
21,18,1
21,10,1
22,21,1
22,22,2
24,24,2
25,23,1
26,26,1
28,26,1
