indivname,ObsSex,Length,type,Age,EpiAge,SampleSet,ModelType
Age4_HIP_5463,1,51,Train,4,5.63233639074016,Combined,Elastic Net
Age4_HIP_5498,2,78,Train,4,5.75162232095288,Combined,Elastic Net
Age4_HIP_5513,2,49,Train,4,5.51133721736509,Combined,Elastic Net
Age4_HIP_5517,1,38,Train,4,5.39346582896041,Combined,Elastic Net
Age4_HIP_5520,2,65,Train,4,5.52680151815718,Combined,Elastic Net
Age4_HIP_5525,1,34,Train,4,5.97140174119695,Combined,Elastic Net
Age4_HIP_5530,1,38,Train,4,5.339424209813,Combined,Elastic Net
Age4_HIP_91,1,44,Train,4,4.33841475440197,Combined,Elastic Net
Age4_HIP_93,2,45,Train,4,5.85714396750194,Combined,Elastic Net
Age6_HYP_132,2,108,Train,6,8.29801093005192,Combined,Elastic Net
Age6_HYP_163,1,83,Train,6,7.50288806734507,Combined,Elastic Net
Age6_HYP_177,2,90,Train,6,7.52800519447997,Combined,Elastic Net
Age6_HYP_187,1,92,Train,6,6.80030380491386,Combined,Elastic Net
Age6_HYP_251,1,114,Train,6,9.83079597700852,Combined,Elastic Net
Age6_HYP_265,1,105,Train,6,7.40878335042339,Combined,Elastic Net
Age6_HYP_488,2,84,Train,6,7.23800107386092,Combined,Elastic Net
Age6_HYP_599,1,100,Train,6,7.11683430938272,Combined,Elastic Net
Age6_HYP_91,2,105,Train,6,6.98092568028201,Combined,Elastic Net
Age8_HYP_102,1,88,Train,8,7.74045323132173,Combined,Elastic Net
Age8_HYP_197,1,113,Train,8,9.36881444456954,Combined,Elastic Net
Age8_HYP_530,2,96,Train,8,10.9767484066588,Combined,Elastic Net
Age8_HYP_593,2,107,Train,8,8.43438031328033,Combined,Elastic Net
Age8_HYP_618,2,92,Train,8,9.61198149159511,Combined,Elastic Net
Age8_HYP_621,1,108,Train,8,7.83998681008659,Combined,Elastic Net
Age8_HYP_732,1,112,Train,8,9.52567451864185,Combined,Elastic Net
Age8_HYP_735,1,120,Train,8,10.3972307936982,Combined,Elastic Net
Age8_HYP_90,2,99,Train,8,8.3296339474815,Combined,Elastic Net
Age10_HYP_10,2,111,Train,10,10.142976412215,Combined,Elastic Net
Age10_HYP_164,1,94,Train,10,8.90100636963436,Combined,Elastic Net
Age10_HYP_266,2,114,Train,10,9.22906649341842,Combined,Elastic Net
Age10_HYP_47,1,98,Train,10,10.0450783990817,Combined,Elastic Net
Age10_HYP_494,2,143,Train,10,14.0377540821633,Combined,Elastic Net
Age10_HYP_52,1,94,Train,10,11.0302369978244,Combined,Elastic Net
Age10_HYP_531,2,154,Train,10,9.78463223042961,Combined,Elastic Net
Age10_HYP_568,1,83,Train,10,10.5249591200713,Combined,Elastic Net
Age10_HYP_645,1,120,Train,10,8.54649349725831,Combined,Elastic Net
Age12_HYP_135,1,112,Train,12,12.5593110847751,Combined,Elastic Net
Age12_HYP_211,2,145,Train,12,12.3374631203216,Combined,Elastic Net
Age12_HYP_224,2,146,Train,12,15.3827979324602,Combined,Elastic Net
Age12_HYP_227,1,90,Train,12,9.54969029891441,Combined,Elastic Net
Age12_HYP_236,2,130,Train,12,9.77750115362906,Combined,Elastic Net
Age12_HYP_502,2,135,Train,12,13.7310146100601,Combined,Elastic Net
Age12_HYP_572,1,94,Train,12,7.99125435239022,Combined,Elastic Net
Age12_HYP_603,1,121,Train,12,10.6848646918071,Combined,Elastic Net
Age12_HYP_610,1,115,Train,12,9.2075271082468,Combined,Elastic Net
Age15_HYP_125,1,99,Train,15,11.0350128441413,Combined,Elastic Net
Age15_HYP_198,2,171,Train,15,13.604656503836,Combined,Elastic Net
Age15_HYP_209,1,108,Train,15,13.2623206730508,Combined,Elastic Net
Age15_HYP_232,2,100,Train,15,11.3089489448393,Combined,Elastic Net
Age15_HYP_255,1,103,Train,15,11.8790605836674,Combined,Elastic Net
Age15_HYP_35,1,103,Train,15,11.2234136077553,Combined,Elastic Net
Age15_HYP_590,2,161,Train,15,13.9395286561891,Combined,Elastic Net
Age15_HYP_9,1,98,Train,15,11.7373591322837,Combined,Elastic Net
Age15_HYP_98,2,146,Train,15,10.7497871114501,Combined,Elastic Net
