indivname,ObsSex,Length,type,Age,EpiAge,SampleSet,ModelType,testdf.Age,se.fit,lower,upper,DataType,LogAge,LogLen
Age4_HIP_5490,2,83,Train,4,5.87060998228718,Female-Only,Elastic Net,NA,NA,NA,NA,NA,NA,NA
Age4_HIP_5498,2,78,Train,4,6.35250311111859,Female-Only,Elastic Net,NA,NA,NA,NA,NA,NA,NA
Age4_HIP_5513,2,49,Train,4,6.3660976850433,Female-Only,Elastic Net,NA,NA,NA,NA,NA,NA,NA
Age4_HIP_5520,2,65,Train,4,6.23466483251781,Female-Only,Elastic Net,NA,NA,NA,NA,NA,NA,NA
Age6_HYP_177,2,90,Train,6,8.10575482659496,Female-Only,Elastic Net,NA,NA,NA,NA,NA,NA,NA
Age6_HYP_488,2,84,Train,6,8.74178596301484,Female-Only,Elastic Net,NA,NA,NA,NA,NA,NA,NA
Age6_HYP_540,2,103,Train,6,8.18680121902626,Female-Only,Elastic Net,NA,NA,NA,NA,NA,NA,NA
Age6_HYP_91,2,105,Train,6,7.94145286821906,Female-Only,Elastic Net,NA,NA,NA,NA,NA,NA,NA
Age8_HYP_250,2,125,Train,8,9.73850984280635,Female-Only,Elastic Net,NA,NA,NA,NA,NA,NA,NA
Age8_HYP_530,2,96,Train,8,11.5293092612871,Female-Only,Elastic Net,NA,NA,NA,NA,NA,NA,NA
Age8_HYP_593,2,107,Train,8,8.01148440309951,Female-Only,Elastic Net,NA,NA,NA,NA,NA,NA,NA
Age8_HYP_90,2,99,Train,8,8.63005760650846,Female-Only,Elastic Net,NA,NA,NA,NA,NA,NA,NA
Age10_HYP_10,2,111,Train,10,9.34173717194157,Female-Only,Elastic Net,NA,NA,NA,NA,NA,NA,NA
Age10_HYP_266,2,114,Train,10,9.65238254919831,Female-Only,Elastic Net,NA,NA,NA,NA,NA,NA,NA
Age10_HYP_494,2,143,Train,10,13.4172322758134,Female-Only,Elastic Net,NA,NA,NA,NA,NA,NA,NA
Age10_HYP_531,2,154,Train,10,9.82998645733359,Female-Only,Elastic Net,NA,NA,NA,NA,NA,NA,NA
Age12_HYP_224,2,146,Train,12,14.6397174509638,Female-Only,Elastic Net,NA,NA,NA,NA,NA,NA,NA
Age12_HYP_236,2,130,Train,12,9.64638411975547,Female-Only,Elastic Net,NA,NA,NA,NA,NA,NA,NA
Age12_HYP_502,2,135,Train,12,13.3530385438378,Female-Only,Elastic Net,NA,NA,NA,NA,NA,NA,NA
Age12_HYP_517,2,128,Train,12,10.5701306450636,Female-Only,Elastic Net,NA,NA,NA,NA,NA,NA,NA
