indivname,ObsSex,Length,type,Age,EpiAge,SampleSet,ModelType,se.fit,lower,upper,DataType,LogAge,LogLen
Age4_HIP_5463,1,51,Train,4,5.91755512077617,Male-Only,Elastic Net,NA,NA,NA,NA,NA,NA
Age4_HIP_5517,1,38,Train,4,5.67945747811829,Male-Only,Elastic Net,NA,NA,NA,NA,NA,NA
Age4_HIP_5530,1,38,Train,4,5.21166235303262,Male-Only,Elastic Net,NA,NA,NA,NA,NA,NA
Age4_HIP_5533,1,60,Train,4,5.60615164101578,Male-Only,Elastic Net,NA,NA,NA,NA,NA,NA
Age4_HIP_91,1,44,Train,4,4.78893858585268,Male-Only,Elastic Net,NA,NA,NA,NA,NA,NA
Age6_HYP_163,1,83,Train,6,8.38243340036245,Male-Only,Elastic Net,NA,NA,NA,NA,NA,NA
Age6_HYP_187,1,92,Train,6,7.10473090148738,Male-Only,Elastic Net,NA,NA,NA,NA,NA,NA
Age6_HYP_251,1,114,Train,6,12.7841018211842,Male-Only,Elastic Net,NA,NA,NA,NA,NA,NA
Age6_HYP_265,1,105,Train,6,7.66258467209841,Male-Only,Elastic Net,NA,NA,NA,NA,NA,NA
Age6_HYP_599,1,100,Train,6,7.989236105137,Male-Only,Elastic Net,NA,NA,NA,NA,NA,NA
Age8_HYP_102,1,88,Train,8,8.14073850859613,Male-Only,Elastic Net,NA,NA,NA,NA,NA,NA
Age8_HYP_197,1,113,Train,8,11.5610125164402,Male-Only,Elastic Net,NA,NA,NA,NA,NA,NA
Age8_HYP_639,1,100,Train,8,8.85393442693532,Male-Only,Elastic Net,NA,NA,NA,NA,NA,NA
Age8_HYP_732,1,112,Train,8,10.2895190186581,Male-Only,Elastic Net,NA,NA,NA,NA,NA,NA
Age8_HYP_735,1,120,Train,8,11.2891361245569,Male-Only,Elastic Net,NA,NA,NA,NA,NA,NA
Age10_HYP_164,1,94,Train,10,9.04061800350002,Male-Only,Elastic Net,NA,NA,NA,NA,NA,NA
Age10_HYP_52,1,94,Train,10,10.8764290764659,Male-Only,Elastic Net,NA,NA,NA,NA,NA,NA
Age10_HYP_544,1,118,Train,10,9.45097780113232,Male-Only,Elastic Net,NA,NA,NA,NA,NA,NA
Age10_HYP_568,1,83,Train,10,10.2984038210952,Male-Only,Elastic Net,NA,NA,NA,NA,NA,NA
Age10_HYP_645,1,120,Train,10,8.51421736524539,Male-Only,Elastic Net,NA,NA,NA,NA,NA,NA
Age12_HYP_135,1,112,Train,12,12.7472806525708,Male-Only,Elastic Net,NA,NA,NA,NA,NA,NA
