indivname,ObsSex,Length,type,Age,EpiAge,SampleSet,ModelType,se.fit,lower,upper,DataType,LogAge,LogLen
Age4_HIP_5463,1,51,Train,4,5.94507982738862,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age4_HIP_5498,2,78,Train,4,5.48167665814171,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age4_HIP_5513,2,49,Train,4,5.48579798498251,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age4_HIP_5517,1,38,Train,4,5.61861671456325,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age4_HIP_5520,2,65,Train,4,5.76822149620507,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age4_HIP_5525,1,34,Train,4,6.35467193539299,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age4_HIP_5533,1,60,Train,4,5.31167382218694,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age4_HIP_91,1,44,Train,4,4.3808593191644,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age4_HIP_93,2,45,Train,4,6.27654766418422,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age6_HYP_132,2,108,Train,6,7.99843501648365,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age6_HYP_163,1,83,Train,6,7.46668336313715,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age6_HYP_187,1,92,Train,6,6.70139434742944,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age6_HYP_251,1,114,Train,6,10.022322575152,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age6_HYP_488,2,84,Train,6,7.40246042375636,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age6_HYP_540,2,103,Train,6,7.81561274226574,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age6_HYP_599,1,100,Train,6,7.47114484951274,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age6_HYP_731,1,108,Train,6,7.76198624570103,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age6_HYP_91,2,105,Train,6,6.86765146499616,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age8_HYP_102,1,88,Train,8,7.64265045766289,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age8_HYP_197,1,113,Train,8,9.77561141474723,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age8_HYP_250,2,125,Train,8,7.88409669478264,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age8_HYP_530,2,96,Train,8,11.0262748200918,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age8_HYP_593,2,107,Train,8,8.0603250585243,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age8_HYP_618,2,92,Train,8,9.65562240106121,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age8_HYP_621,1,108,Train,8,7.9842601107779,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age8_HYP_732,1,112,Train,8,9.82803342246057,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age8_HYP_735,1,120,Train,8,10.988487143287,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age10_HYP_10,2,111,Train,10,10.8159142491198,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age10_HYP_266,2,114,Train,10,9.42390463568426,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age10_HYP_47,1,98,Train,10,9.87004166264279,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age10_HYP_52,1,94,Train,10,11.1892412293602,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age10_HYP_526,2,122,Train,10,8.43807400125801,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age10_HYP_531,2,154,Train,10,9.31595805428416,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age10_HYP_544,1,118,Train,10,8.73915784716956,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age10_HYP_568,1,83,Train,10,10.2739966399598,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age10_HYP_645,1,120,Train,10,8.80294864669095,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age12_HYP_135,1,112,Train,12,12.7380230837703,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
