"","diffMeth.per.chr.chr","diffMeth.per.chr.number.of.hypermethylated","diffMeth.per.chr.percentage.of.hypermethylated","diffMeth.per.chr.number.of.hypomethylated","diffMeth.per.chr.percentage.of.hypomethylated","diffMeth.all.number.of.hypermethylated","diffMeth.all.percentage.of.hypermethylated","diffMeth.all.number.of.hypomethylated","diffMeth.all.percentage.of.hypomethylated"
"1","NC_009709.1",0,0,2,0.371057513914657,172,1.19262238247122,3857,26.7438635418111
"2","NC_047151.1",3,0.38860103626943,259,33.5492227979275,172,1.19262238247122,3857,26.7438635418111
"3","NC_047152.1",4,1.26182965299685,51,16.0883280757098,172,1.19262238247122,3857,26.7438635418111
"4","NC_047153.1",2,0.527704485488127,97,25.5936675461741,172,1.19262238247122,3857,26.7438635418111
"5","NC_047154.1",1,0.645161290322581,68,43.8709677419355,172,1.19262238247122,3857,26.7438635418111
"6","NC_047155.1",7,1.92837465564738,87,23.9669421487603,172,1.19262238247122,3857,26.7438635418111
"7","NC_047156.1",3,1.92307692307692,28,17.9487179487179,172,1.19262238247122,3857,26.7438635418111
"8","NC_047157.1",5,1.79856115107914,14,5.03597122302158,172,1.19262238247122,3857,26.7438635418111
"9","NC_047158.1",17,1.92307692307692,248,28.0542986425339,172,1.19262238247122,3857,26.7438635418111
"10","NC_047159.1",5,1.42045454545455,110,31.25,172,1.19262238247122,3857,26.7438635418111
"11","NC_047160.1",4,2.12765957446809,41,21.8085106382979,172,1.19262238247122,3857,26.7438635418111
"12","NC_047161.1",1,0.335570469798658,28,9.39597315436242,172,1.19262238247122,3857,26.7438635418111
"13","NC_047162.1",2,0.662251655629139,39,12.9139072847682,172,1.19262238247122,3857,26.7438635418111
"14","NC_047163.1",11,0.741239892183288,446,30.0539083557951,172,1.19262238247122,3857,26.7438635418111
"15","NC_047164.1",13,3.61111111111111,41,11.3888888888889,172,1.19262238247122,3857,26.7438635418111
"16","NC_047165.1",5,0.520291363163371,127,13.2154006243496,172,1.19262238247122,3857,26.7438635418111
"17","NC_047166.1",8,2.33236151603499,160,46.6472303206997,172,1.19262238247122,3857,26.7438635418111
"18","NC_047167.1",3,0.367647058823529,413,50.6127450980392,172,1.19262238247122,3857,26.7438635418111
"19","NC_047168.1",0,0,121,54.0178571428571,172,1.19262238247122,3857,26.7438635418111
"20","NC_047169.1",0,0,328,70.2355460385439,172,1.19262238247122,3857,26.7438635418111
"21","NC_047170.1",1,2.22222222222222,17,37.7777777777778,172,1.19262238247122,3857,26.7438635418111
"22","NC_047171.1",19,3.45454545454545,38,6.90909090909091,172,1.19262238247122,3857,26.7438635418111
"23","NC_047172.1",24,1.8348623853211,507,38.7614678899083,172,1.19262238247122,3857,26.7438635418111
"24","NC_047173.1",7,2.24358974358974,17,5.44871794871795,172,1.19262238247122,3857,26.7438635418111
"25","NC_047174.1",5,1.81818181818182,73,26.5454545454545,172,1.19262238247122,3857,26.7438635418111
"26","NW_022986819.1",2,1.24223602484472,65,40.3726708074534,172,1.19262238247122,3857,26.7438635418111
"27","NW_022986821.1",0,0,5,38.4615384615385,172,1.19262238247122,3857,26.7438635418111
"28","NW_022986827.1",3,0.297029702970297,330,32.6732673267327,172,1.19262238247122,3857,26.7438635418111
"29","NW_022986833.1",10,1.25628140703518,84,10.5527638190955,172,1.19262238247122,3857,26.7438635418111
"30","NW_022986835.1",3,20,1,6.66666666666667,172,1.19262238247122,3857,26.7438635418111
"31","NW_022986840.1",3,4.91803278688525,3,4.91803278688525,172,1.19262238247122,3857,26.7438635418111
"32","NW_022986841.1",1,0.769230769230769,6,4.61538461538461,172,1.19262238247122,3857,26.7438635418111
"33","NW_022986849.1",0,0,2,66.6666666666667,172,1.19262238247122,3857,26.7438635418111
"34","NW_022986850.1",0,0,1,10,172,1.19262238247122,3857,26.7438635418111
