"","diffMeth.per.chr.chr","diffMeth.per.chr.number.of.hypermethylated","diffMeth.per.chr.percentage.of.hypermethylated","diffMeth.per.chr.number.of.hypomethylated","diffMeth.per.chr.percentage.of.hypomethylated","diffMeth.all.number.of.hypermethylated","diffMeth.all.percentage.of.hypermethylated","diffMeth.all.number.of.hypomethylated","diffMeth.all.percentage.of.hypomethylated"
"1","NC_009709.1",0,0,29,5.36044362292052,203,1.29895060148451,4258,27.2459687739954
"2","NC_047151.1",9,1.0477299185099,407,47.3806752037253,203,1.29895060148451,4258,27.2459687739954
"3","NC_047152.1",0,0,101,26.3707571801567,203,1.29895060148451,4258,27.2459687739954
"4","NC_047153.1",6,1.36986301369863,179,40.8675799086758,203,1.29895060148451,4258,27.2459687739954
"5","NC_047154.1",3,2.02702702702703,75,50.6756756756757,203,1.29895060148451,4258,27.2459687739954
"6","NC_047155.1",3,0.636942675159236,172,36.5180467091295,203,1.29895060148451,4258,27.2459687739954
"7","NC_047156.1",2,1.28205128205128,46,29.4871794871795,203,1.29895060148451,4258,27.2459687739954
"8","NC_047157.1",4,1.16279069767442,56,16.2790697674419,203,1.29895060148451,4258,27.2459687739954
"9","NC_047158.1",20,1.94741966893866,292,28.4323271665044,203,1.29895060148451,4258,27.2459687739954
"10","NC_047159.1",2,0.50125313283208,167,41.8546365914787,203,1.29895060148451,4258,27.2459687739954
"11","NC_047160.1",6,2.12765957446809,94,33.3333333333333,203,1.29895060148451,4258,27.2459687739954
"12","NC_047161.1",4,1.21580547112462,57,17.3252279635258,203,1.29895060148451,4258,27.2459687739954
"13","NC_047162.1",7,2.14723926380368,47,14.4171779141104,203,1.29895060148451,4258,27.2459687739954
"14","NC_047163.1",16,1,426,26.625,203,1.29895060148451,4258,27.2459687739954
"15","NC_047164.1",6,1.91082802547771,51,16.2420382165605,203,1.29895060148451,4258,27.2459687739954
"16","NC_047165.1",22,2.10325047801147,134,12.810707456979,203,1.29895060148451,4258,27.2459687739954
"17","NC_047166.1",8,2.10526315789474,129,33.9473684210526,203,1.29895060148451,4258,27.2459687739954
"18","NC_047167.1",12,1.3437849944009,347,38.8577827547592,203,1.29895060148451,4258,27.2459687739954
"19","NC_047168.1",5,1.96078431372549,90,35.2941176470588,203,1.29895060148451,4258,27.2459687739954
"20","NC_047169.1",0,0,225,51.7241379310345,203,1.29895060148451,4258,27.2459687739954
"21","NC_047170.1",1,1.75438596491228,40,70.1754385964912,203,1.29895060148451,4258,27.2459687739954
"22","NC_047171.1",7,0.985915492957746,88,12.3943661971831,203,1.29895060148451,4258,27.2459687739954
"23","NC_047172.1",16,1.01010101010101,521,32.8914141414141,203,1.29895060148451,4258,27.2459687739954
"24","NC_047173.1",2,0.506329113924051,74,18.7341772151899,203,1.29895060148451,4258,27.2459687739954
"25","NC_047174.1",0,0,137,45.819397993311,203,1.29895060148451,4258,27.2459687739954
"26","NW_022986819.1",0,0,105,64.4171779141104,203,1.29895060148451,4258,27.2459687739954
"27","NW_022986821.1",4,30.7692307692308,0,0,203,1.29895060148451,4258,27.2459687739954
"28","NW_022986822.1",0,0,1,14.2857142857143,203,1.29895060148451,4258,27.2459687739954
"29","NW_022986827.1",22,3.14285714285714,69,9.85714285714286,203,1.29895060148451,4258,27.2459687739954
"30","NW_022986829.1",0,0,1,33.3333333333333,203,1.29895060148451,4258,27.2459687739954
"31","NW_022986832.1",0,0,4,66.6666666666667,203,1.29895060148451,4258,27.2459687739954
"32","NW_022986833.1",15,2.0297699594046,65,8.7956698240866,203,1.29895060148451,4258,27.2459687739954
"33","NW_022986835.1",0,0,3,21.4285714285714,203,1.29895060148451,4258,27.2459687739954
"34","NW_022986840.1",0,0,16,19.5121951219512,203,1.29895060148451,4258,27.2459687739954
"35","NW_022986841.1",0,0,8,6.06060606060606,203,1.29895060148451,4258,27.2459687739954
"36","NW_022986847.1",1,1.13636363636364,2,2.27272727272727,203,1.29895060148451,4258,27.2459687739954
