"","diffMeth.per.chr.chr","diffMeth.per.chr.number.of.hypermethylated","diffMeth.per.chr.percentage.of.hypermethylated","diffMeth.per.chr.number.of.hypomethylated","diffMeth.per.chr.percentage.of.hypomethylated","diffMeth.all.number.of.hypermethylated","diffMeth.all.percentage.of.hypermethylated","diffMeth.all.number.of.hypomethylated","diffMeth.all.percentage.of.hypomethylated"
"1","NC_047151.1",0,0,38,5.49132947976879,2,0.0178826895565093,205,1.8329756795422
"2","NC_047152.1",0,0,3,1.50753768844221,2,0.0178826895565093,205,1.8329756795422
"3","NC_047153.1",0,0,5,1.36986301369863,2,0.0178826895565093,205,1.8329756795422
"4","NC_047154.1",0,0,8,6.15384615384615,2,0.0178826895565093,205,1.8329756795422
"5","NC_047155.1",0,0,3,1.31578947368421,2,0.0178826895565093,205,1.8329756795422
"6","NC_047156.1",0,0,4,3.30578512396694,2,0.0178826895565093,205,1.8329756795422
"7","NC_047157.1",0,0,3,1.35135135135135,2,0.0178826895565093,205,1.8329756795422
"8","NC_047158.1",0,0,10,1.43472022955524,2,0.0178826895565093,205,1.8329756795422
"9","NC_047159.1",0,0,5,1.91570881226054,2,0.0178826895565093,205,1.8329756795422
"10","NC_047160.1",0,0,5,4.20168067226891,2,0.0178826895565093,205,1.8329756795422
"11","NC_047163.1",0,0,22,1.60116448326055,2,0.0178826895565093,205,1.8329756795422
"12","NC_047165.1",0,0,2,0.2460024600246,2,0.0178826895565093,205,1.8329756795422
"13","NC_047166.1",0,0,6,2.02702702702703,2,0.0178826895565093,205,1.8329756795422
"14","NC_047167.1",0,0,28,4.16047548291233,2,0.0178826895565093,205,1.8329756795422
"15","NC_047168.1",0,0,7,3.7037037037037,2,0.0178826895565093,205,1.8329756795422
"16","NC_047169.1",0,0,15,3.8659793814433,2,0.0178826895565093,205,1.8329756795422
"17","NC_047170.1",0,0,2,4.8780487804878,2,0.0178826895565093,205,1.8329756795422
"18","NC_047171.1",2,0.410677618069815,3,0.616016427104723,2,0.0178826895565093,205,1.8329756795422
"19","NC_047172.1",0,0,19,1.80952380952381,2,0.0178826895565093,205,1.8329756795422
"20","NC_047174.1",0,0,6,2.7027027027027,2,0.0178826895565093,205,1.8329756795422
"21","NW_022986819.1",0,0,7,4.40251572327044,2,0.0178826895565093,205,1.8329756795422
"22","NW_022986827.1",0,0,2,0.593471810089021,2,0.0178826895565093,205,1.8329756795422
"23","NW_022986833.1",0,0,1,0.184162062615101,2,0.0178826895565093,205,1.8329756795422
"24","NW_022986840.1",0,0,1,4.16666666666667,2,0.0178826895565093,205,1.8329756795422
