CHROM,POS,GenomeRegion
NC_047151.1,45,1
NC_047151.1,51,1
NC_047151.1,2369,1
NC_047151.1,2730,1
NC_047151.1,2736,1
NC_047151.1,3072,1
NC_047151.1,3712,1
NC_047151.1,3735,1
NC_047151.1,4413,1
NC_047151.1,4742,1
NC_047151.1,5724,1
NC_047151.1,6754,1
NC_047151.1,7401,1
NC_047151.1,7433,1
NC_047151.1,9078,1
NC_047151.1,9415,1
NC_047151.1,9880,1
NC_047151.1,10551,1
NC_047151.1,10785,1
NC_047151.1,11792,1
NC_047151.1,13780,1
NC_047151.1,13802,1
NC_047151.1,14473,1
NC_047151.1,15136,1
NC_047151.1,15471,1
NC_047151.1,15478,1
NC_047151.1,9128946,2
NC_047152.1,1306,3
NC_047152.1,5986,3
NC_047152.1,11751,3
NC_047153.1,31186743,4
NC_047153.1,32661362,4
NC_047153.1,32663340,4
NC_047153.1,32663347,4
NC_047153.1,32664060,4
NC_047153.1,32666356,4
NC_047153.1,32666785,4
NC_047153.1,32666836,4
NC_047153.1,32668125,4
NC_047153.1,32668366,4
NC_047153.1,32668700,4
NC_047153.1,32668795,4
NC_047153.1,32669737,4
NC_047153.1,32669799,4
NC_047153.1,32669800,4
NC_047153.1,32670710,4
NC_047153.1,32671095,4
NC_047153.1,32672745,4
NC_047153.1,32673649,4
NC_047153.1,32673737,4
NC_047153.1,32675405,4
NC_047155.1,24555900,5
NC_047155.1,30740795,6
NC_047155.1,30743856,6
NC_047155.1,30744495,6
NC_047155.1,30744502,6
NC_047155.1,30745713,6
NC_047155.1,30745806,6
NC_047155.1,30745807,6
NC_047155.1,30747359,6
NC_047155.1,30747622,6
NC_047155.1,30748169,6
NC_047155.1,30748605,6
NC_047155.1,30749276,6
NC_047155.1,30749282,6
NC_047155.1,30750614,6
NC_047155.1,30750956,6
NC_047155.1,30751619,6
NC_047155.1,30751668,6
NC_047157.1,604941,7
NC_047157.1,1787777,8
NC_047159.1,29159906,9
NC_047159.1,29160008,9
NC_047159.1,29166056,9
NC_047159.1,29170063,9
NC_047161.1,22178599,10
NC_047161.1,22201614,10
NC_047163.1,18713047,11
NC_047163.1,21495116,12
NC_047163.1,29031803,13
NC_047163.1,29066999,13
NC_047163.1,29069872,13
NC_047163.1,29069978,13
NC_047163.1,29070020,13
NC_047164.1,2171775,14
NC_047164.1,2171813,14
NC_047164.1,24801420,15
NC_047165.1,906817,16
NC_047165.1,906821,16
NC_047165.1,907148,16
NC_047165.1,908834,16
NC_047165.1,910853,16
NC_047165.1,912498,16
NC_047165.1,912711,16
NC_047165.1,15408994,17
NC_047165.1,15411799,17
NC_047165.1,15411811,17
NC_047165.1,15411905,17
NC_047165.1,15412428,17
NC_047167.1,11015458,18
NC_047168.1,480431,19
NC_047169.1,16885311,20
NC_047170.1,1363,21
NC_047170.1,1435,21
NC_047170.1,1470,21
NC_047170.1,1540,21
NC_047171.1,2287136,22
NC_047171.1,15408463,23
NC_047171.1,15409738,23
NC_047171.1,25040373,24
NC_047171.1,25040474,24
NC_047171.1,25040623,24
NC_047172.1,24804623,25
NC_047172.1,24835778,25
NC_047172.1,24895667,25
NC_047172.1,26288943,26
NC_047172.1,26289238,26
NC_047172.1,26290161,26
NC_047172.1,26290162,26
NC_047172.1,26293714,26
NC_047172.1,26293982,26
NC_047172.1,26294006,26
NC_047172.1,26294605,26
NC_047172.1,26299324,26
NC_047172.1,26300378,26
NC_047172.1,26301048,26
NC_047172.1,26303009,26
NC_047172.1,26305026,26
NC_047172.1,26305253,26
NC_047172.1,26305360,26
NC_047172.1,26306357,26
NC_047172.1,26306691,26
NC_047172.1,26307361,26
NC_047172.1,26308364,26
NC_047172.1,26309369,26
NC_047172.1,26311042,26
NC_047172.1,26311377,26
NC_047174.1,21421469,27
NC_047174.1,21422892,27
NC_047174.1,21423903,27
NC_047174.1,21425138,27
NC_047174.1,21427009,27
NC_047174.1,21428354,27
NC_047174.1,21430655,27
NC_047174.1,21431627,27
NC_047174.1,21431948,27
NC_047174.1,21434992,27
NC_047174.1,21435010,27
NC_047174.1,21435011,27
NC_047174.1,21435055,27
NC_047174.1,21435056,27
