CpGlist_best,ModelType,Region,DataSet
NC_047151.1.10083,Length,1,MaleOnly
NC_047151.1.10551,Length,1,MaleOnly
NC_047151.1.11792,Age,1,MaleOnly
NC_047151.1.1363,Age,1,MaleOnly
NC_047151.1.15812,Length,1,MaleOnly
NC_047151.1.380,Age,1,MaleOnly
NC_047151.1.387,Length,1,MaleOnly
NC_047151.1.4382,Length,1,MaleOnly
NC_047151.1.5724,Age,1,MaleOnly
NC_047152.1.2310,Age,1,MaleOnly
NC_047152.1.3646,Length,3,MaleOnly
NC_047152.1.5986,Age,3,MaleOnly
NC_047152.1.7322,Age,3,MaleOnly
NC_047153.1.32663007,Both,4,MaleOnly
NC_047153.1.32663014,Age,4,MaleOnly
NC_047153.1.32664011,Length,4,MaleOnly
NC_047153.1.32666784,Length,4,MaleOnly
NC_047153.1.32669085,Age,4,MaleOnly
NC_047153.1.32672419,Length,4,MaleOnly
NC_047155.1.30745806,Age,6,MaleOnly
NC_047155.1.30749276,Length,6,MaleOnly
NC_047155.1.30749968,Length,6,MaleOnly
NC_047155.1.30750957,Age,6,MaleOnly
NC_047155.1.30751963,Age,6,MaleOnly
NC_047159.1.29159369,Length,9,MaleOnly
NC_047159.1.29166769,Age,9,MaleOnly
NC_047159.1.29169109,Age,9,MaleOnly
NC_047159.1.29170064,Length,9,MaleOnly
NC_047161.1.22201614,Age,10,MaleOnly
NC_047162.1.17156,Both,28,MaleOnly
NC_047165.1.15411799,Length,17,MaleOnly
NC_047165.1.15412581,Length,17,MaleOnly
NC_047168.1.6544,Age,29,MaleOnly
NC_047169.1.16885311,Age,20,MaleOnly
NC_047172.1.26300329,Length,26,MaleOnly
NC_047172.1.26301670,Length,26,MaleOnly
NC_047172.1.26302005,Length,26,MaleOnly
NC_047172.1.26302372,Length,26,MaleOnly
NC_047172.1.26303009,Age,26,MaleOnly
NC_047172.1.26307026,Age,26,MaleOnly
NC_047172.1.26308364,Age,26,MaleOnly
NC_047172.1.26309369,Age,26,MaleOnly
NC_047172.1.26309369,Length,26,MaleOnly
NC_047172.1.26311408,Length,26,MaleOnly
NC_047174.1.21435055,Length,27,MaleOnly
