CpGlist_best,n,Set,CHROM,MapInfo,Match,diff
NC_047151.1.1394,25,Age4to29,NC_047151.1,1394,N,
NC_047151.1.2369,25,Age4to15,NC_047151.1,2369,N,975
NC_047151.1.2730,43,Age4to15,NC_047151.1,2730,N,361
NC_047151.1.2736,26,Age4to15,NC_047151.1,2736,N,6
NC_047151.1.3072,21,Age4to29,NC_047151.1,3072,N,336
NC_047151.1.3712,27,Age4to15,NC_047151.1,3712,N,640
NC_047151.1.4413,21,Age4to29,NC_047151.1,4413,N,701
NC_047151.1.7433,51,Age4to15,NC_047151.1,7433,N,3020
NC_047151.1.8106,30,OldSites,NC_047151.1,8106,N,673
NC_047151.1.9109,67,OldSites,NC_047151.1,9109,N,1003
NC_047151.1.9415,49,Age4to15,NC_047151.1,9415,N,306
NC_047151.1.9880,85,Age4to29,NC_047151.1,9880,N,465
NC_047151.1.11120,24,OldSites,NC_047151.1,11120,N,1240
NC_047151.1.11792,68,Age4to29,NC_047151.1,11792,N,672
NC_047151.1.12095,24,Age4to15,NC_047151.1,12095,N,303
NC_047151.1.13780,42,Age4to15,NC_047151.1,13780,N,1685
NC_047151.1.13802,60,Age4to29,NC_047151.1,13802,N,22
NC_047151.1.15143,25,OldSites,NC_047151.1,15143,N,1341
NC_047151.1.26569,27,Age4to29,NC_047151.1,26569,N,11426
NC_047151.1.936054,21,Age4to29,NC_047151.1,936054,N,909485
NC_047151.1.9128946,30,Age4to15,NC_047151.1,9128946,N,8192892
NC_047152.1.1306,46,Age4to15,NC_047152.1,1306,N,
NC_047152.1.5986,89,Age4to29,NC_047152.1,5986,N,4680
NC_047153.1.31186743,24,Age4to29,NC_047153.1,31186743,N,
NC_047153.1.32663683,51,OldSites,NC_047153.1,32663683,N,1476940
NC_047153.1.32666356,60,Age4to29,NC_047153.1,32666356,N,2673
NC_047153.1.32666836,31,Age4to29,NC_047153.1,32666836,N,480
NC_047153.1.32667695,22,Age4to29,NC_047153.1,32667695,N,859
NC_047153.1.32667718,51,OldSites,NC_047153.1,32667718,N,23
NC_047153.1.32668125,45,Age4to29,NC_047153.1,32668125,N,407
NC_047153.1.32668366,23,Age4to29,NC_047153.1,32668366,N,241
NC_047153.1.32668795,41,Age4to29,NC_047153.1,32668795,N,429
NC_047153.1.32670710,46,Age4to29,NC_047153.1,32670710,N,1915
NC_047153.1.32672745,42,Age4to15,NC_047153.1,32672745,N,2035
NC_047153.1.32673649,53,Age4to29,NC_047153.1,32673649,N,904
NC_047153.1.32673737,51,Age4to15,NC_047153.1,32673737,N,88
NC_047155.1.24555900,28,Age4to29,NC_047155.1,24555900,N,
NC_047155.1.30740795,58,Age4to29,NC_047155.1,30740795,N,6184895
NC_047155.1.30744502,51,Age4to29,NC_047155.1,30744502,N,3707
NC_047155.1.30745720,41,OldSites,NC_047155.1,30745720,N,1218
NC_047155.1.30748169,27,Age4to29,NC_047155.1,30748169,N,2449
NC_047155.1.30748605,25,Age4to29,NC_047155.1,30748605,N,436
NC_047155.1.30748991,24,Age4to29,NC_047155.1,30748991,N,386
NC_047155.1.30749282,21,Age4to15,NC_047155.1,30749282,N,291
NC_047155.1.30751619,55,Age4to29,NC_047155.1,30751619,N,2337
