CHROM MapInfo
NC_047151.1 45
NC_047151.1 51
NC_047151.1 4742
NC_047151.1 5724
NC_047151.1 6425
NC_047151.1 6754
NC_047151.1 7401
NC_047151.1 8106
NC_047151.1 9078
NC_047151.1 9109
NC_047151.1 10551
NC_047151.1 10551
NC_047151.1 11120
NC_047151.1 14473
NC_047151.1 15136
NC_047151.1 15143
NC_047151.1 15471
NC_047153.1 32663340
NC_047153.1 32663347
NC_047153.1 32663683
NC_047153.1 32664060
NC_047153.1 32666785
NC_047153.1 32667718
NC_047153.1 32668700
NC_047153.1 32669737
NC_047153.1 32669800
NC_047153.1 32671095
NC_047155.1 30744495
NC_047155.1 30745713
NC_047155.1 30745720
NC_047155.1 30745807
NC_047155.1 30747359
NC_047155.1 30747622
NC_047155.1 30749276
NC_047155.1 30750956
NC_047159.1 29162690
NC_047159.1 29163394
NC_047159.1 29163729
NC_047159.1 29165067
NC_047159.1 29165076
NC_047159.1 29166055
NC_047161.1 22178599
NC_047161.1 22184064
NC_047163.1 21495116
NC_047163.1 29066999
NC_047163.1 29069978
NC_047163.1 29070020
NC_047164.1 24801420
NC_047165.1 908834
NC_047165.1 912025
NC_047165.1 15411811
NC_047165.1 15411905
NC_047165.1 15412284
NC_047167.1 11015433
NC_047168.1 480431
NC_047171.1 15408567
NC_047171.1 15409282
NC_047171.1 15409738
NC_047171.1 25040373
NC_047171.1 25040377
NC_047171.1 25040474
NC_047171.1 25040623
NC_047172.1 24804623
NC_047172.1 24835778
NC_047172.1 24895667
NC_047172.1 26290161
NC_047172.1 26290162
NC_047172.1 26299324
NC_047172.1 26300329
NC_047172.1 26300378
NC_047172.1 26301048
NC_047172.1 26302348
NC_047172.1 26305026
NC_047172.1 26306357
NC_047172.1 26306698
NC_047172.1 26307362
NC_047172.1 26309369
NC_047172.1 26311042
NC_047172.1 26311377
NC_047174.1 21423903
NC_047174.1 21427009
NC_047174.1 21429982
NC_047174.1 21430656
NC_047174.1 21431627
NC_047174.1 21434992
NC_047174.1 21435011
NC_047174.1 21435055
NC_047174.1 21435056
NC_047151.1 625138
NC_047151.1 904900
NC_047151.1 1349209
NC_047151.1 1504188
NC_047151.1 2033598
NC_047151.1 2083162
NC_047151.1 2102531
NC_047151.1 2137932
NC_047151.1 2238878
NC_047151.1 2525468
NC_047151.1 2863957
NC_047151.1 3176672
NC_047151.1 3210533
NC_047151.1 3296554
NC_047151.1 3432789
NC_047151.1 3578141
NC_047151.1 3722324
NC_047151.1 3864513
NC_047151.1 3996665
NC_047151.1 4203302
NC_047151.1 4426704
NC_047151.1 5418285
NC_047151.1 5626337
NC_047151.1 6234416
NC_047151.1 6316690
NC_047151.1 6802920
NC_047151.1 6877169
NC_047151.1 6933986
NC_047151.1 7167739
NC_047151.1 7432297
NC_047151.1 7595448
NC_047151.1 7613837
NC_047151.1 7829392
NC_047151.1 7915665
NC_047151.1 8496390
NC_047151.1 8506394
NC_047151.1 8617010
NC_047151.1 10472958
NC_047151.1 10608056
NC_047151.1 10620533
NC_047151.1 10663027
NC_047151.1 10866014
NC_047151.1 10974972
NC_047151.1 10998274
NC_047151.1 11298140
NC_047151.1 11390692
NC_047151.1 11504124
NC_047151.1 11796599
NC_047151.1 12412239
NC_047151.1 12592471
NC_047151.1 12704592
NC_047151.1 12963720
NC_047151.1 13291811
NC_047151.1 13347284
NC_047151.1 13459621
NC_047151.1 13498367
NC_047151.1 13841093
NC_047151.1 13942245
NC_047151.1 14295439
NC_047151.1 14374658
NC_047151.1 14407930
NC_047151.1 14434905
NC_047151.1 14582620
NC_047151.1 15318209
NC_047151.1 15667110
NC_047151.1 15820656
NC_047151.1 16145299
NC_047151.1 16558232
NC_047151.1 16787324
NC_047151.1 16839311
NC_047151.1 17477562
NC_047151.1 18353109
NC_047151.1 18603183
NC_047151.1 18682606
NC_047151.1 19212638
NC_047151.1 19229919
NC_047151.1 20028799
NC_047151.1 20417076
NC_047151.1 20563508
NC_047151.1 20612020
NC_047151.1 20768160
NC_047151.1 20940765
NC_047151.1 20950678
NC_047151.1 21054223
NC_047151.1 21122850
NC_047151.1 21228054
NC_047151.1 21580669
NC_047151.1 21765215
NC_047151.1 21875840
NC_047151.1 22028464
NC_047151.1 22066951
NC_047151.1 22087509
NC_047151.1 22291528
NC_047151.1 22328930
NC_047151.1 22468498
NC_047151.1 22488569
NC_047151.1 22570158
NC_047151.1 22607753
NC_047151.1 22762371
NC_047151.1 22936908
NC_047151.1 23322700
NC_047151.1 23643645
NC_047151.1 23733211
NC_047151.1 23956587
NC_047151.1 24070908
NC_047151.1 24371342
NC_047151.1 24404214
NC_047151.1 24447619
NC_047151.1 24460027
NC_047151.1 24468619
NC_047151.1 24600134
