CHROM StartPOS EndPOS
NC_047151.1 1 407
NC_047151.1 5524 5924
NC_047151.1 6225 6625
NC_047151.1 6554 6954
NC_047151.1 7201 7601
NC_047151.1 7906 8306
NC_047151.1 8878 9278
NC_047151.1 8909 9309
NC_047151.1 10351 10751
NC_047151.1 14273 14673
NC_047151.1 14936 15336
NC_047151.1 14943 15343
NC_047151.1 15271 15671
NC_047153.1 32663144 32663543
NC_047153.1 32663860 32664260
NC_047153.1 32666585 32666985
NC_047153.1 32667518 32667918
NC_047153.1 32668500 32668900
NC_047153.1 32669537 32669937
NC_047153.1 32669600 32670000
NC_047153.1 32670895 32671295
NC_047155.1 30744495 30745713
NC_047155.1 30745564 30745963
NC_047155.1 30747422 30747822
NC_047155.1 30749076 30749476
NC_047155.1 30750756 30751156
NC_047155.1 30750756 30751156
NC_047159.1 29162690 29163394
NC_047159.1 29163529 29163929
NC_047159.1 29164867 29165267
NC_047159.1 29164876 29165276
NC_047159.1 29165855 29166255
NC_047161.1 22178599 22184064
NC_047163.1 21495116 29066999
NC_047163.1 29069778 29070178
NC_047163.1 29069820 29070220
NC_047164.1 24801220 24801620
NC_047165.1 908834 912025
NC_047165.1 15411611 15412011
NC_047165.1 15411705 15412105
NC_047165.1 15412084 15412484
NC_047167.1 11015233 11015633
NC_047168.1 480231 480631
NC_047171.1 15408567 15409282
NC_047171.1 15409538 15409938
NC_047171.1 25040173 25040573
NC_047171.1 25040300 25040700
NC_047172.1 24804623 24835778
NC_047172.1 24895467 24895867
NC_047172.1 26289961 26290361
NC_047172.1 26289962 26290362
NC_047172.1 26300129 26300529
NC_047172.1 26300178 26300578
NC_047172.1 26302148 26302548
NC_047172.1 26304826 26305226
NC_047172.1 26306157 26306557
NC_047172.1 26306498 26306898
NC_047172.1 26307162 26307562
NC_047172.1 26309169 26309569
NC_047172.1 26310842 26311242
NC_047172.1 26311177 26311577
NC_047172.1 26311177 26311577
NC_047174.1 21423903 21427009
NC_047174.1 21429782 21430182
NC_047174.1 21430456 21430856
NC_047174.1 21431427 21431827
NC_047174.1 21434792 21435192
NC_047174.1 21434833 21435234
NC_047158.1 6134994 6135394
NC_047158.1 6214796 6215196
NC_047158.1 6230200 6230600
NC_047158.1 6257588 6257988
NC_047158.1 6257735 6258135
NC_047158.1 6479657 6480057
NC_047158.1 6557290 6557690
NC_047158.1 6617142 6617542
NC_047158.1 6623160 6623560
NC_047158.1 6669625 6670025
NC_047158.1 6715370 6715770
NC_047158.1 6719164 6719564
NC_047158.1 6719226 6719626
NC_047158.1 6788060 6788460
NC_047158.1 6812017 6812417
NC_047158.1 6996904 6997304
NC_047158.1 6996975 6997375
NC_047158.1 7059689 7060088
NC_047158.1 7109530 7109930
NC_047158.1 7116676 7117076
NC_047158.1 7116782 7117182
NC_047158.1 7157825 7158226
NC_047158.1 7187026 7187426
NC_047158.1 7230325 7230725
NC_047158.1 7271100 7271500
NC_047158.1 7376389 7376789
NC_047158.1 7376421 7376821
NC_047158.1 7510149 7510549
NC_047158.1 7510321 7510721
NC_047158.1 7579781 7580181
NC_047158.1 7579979 7580379
NC_047158.1 7616627 7617027
NC_047158.1 7656260 7656660
NC_047158.1 7656285 7656685
NC_047158.1 7702496 7702896
NC_047158.1 7702779 7703179
NC_047158.1 7832362 7832762
NC_047158.1 7891493 7891893
NC_047158.1 7895024 7895424
NC_047158.1 7908334 7908734
NC_047158.1 7908565 7908965
NC_047158.1 7908627 7909027
NC_047158.1 7983701 7984101
NC_047158.1 7983754 7984154
NC_047158.1 8091958 8092358
NC_047158.1 8129133 8129533
NC_047158.1 8129523 8129923
NC_047158.1 8143092 8143492
NC_047158.1 8203859 8204259
NC_047158.1 8203893 8204293
NC_047158.1 8270060 8270459
NC_047158.1 8423344 8423744
NC_047158.1 8431083 8431483
NC_047158.1 8447794 8448194
NC_047158.1 8448001 8448401
NC_047158.1 8533951 8534351
NC_047158.1 8533952 8534352
NC_047158.1 8660179 8660579
NC_047158.1 8660203 8660603
NC_047158.1 8660652 8661052
NC_047158.1 8675266 8675666
NC_047158.1 8711544 8711944
NC_047158.1 8742073 8742473
NC_047158.1 8800695 8801095
NC_047158.1 8840227 8840627
NC_047158.1 8907139 8907539
NC_047158.1 8907214 8907614
NC_047158.1 8987711 8988111
NC_047158.1 9014854 9015254
NC_047158.1 9097766 9098166
NC_047158.1 9097779 9098179
NC_047158.1 9161364 9161764
NC_047158.1 9161733 9162133
NC_047158.1 9230190 9230590
NC_047158.1 9271513 9271913
NC_047158.1 9361527 9361927
NC_047158.1 9369040 9369440
NC_047158.1 9369263 9369663
NC_047158.1 9369393 9369793
NC_047158.1 9396190 9396590
NC_047158.1 9404975 9405375
NC_047158.1 9459181 9459581
NC_047158.1 9459533 9459933
NC_047158.1 9472179 9472579
NC_047158.1 9472311 9472711
NC_047158.1 9569296 9569696
NC_047158.1 9569577 9569978
NC_047158.1 9643320 9643720
NC_047158.1 9653068 9653468
NC_047158.1 9653220 9653620
NC_047158.1 9875459 9875859
NC_047158.1 9892433 9892833
NC_047158.1 10001869 10002269
NC_047158.1 10037282 10037682
NC_047158.1 10037327 10037727
NC_047158.1 10101441 10101841
NC_047158.1 10378421 10378821
NC_047158.1 10380699 10381099
NC_047158.1 10398408 10398808
NC_047158.1 10398499 10398898
NC_047158.1 10608013 10608413
NC_047158.1 10608190 10608590
NC_047158.1 10684288 10684688
NC_047158.1 10729186 10729586
NC_047158.1 10729244 10729644
NC_047158.1 10750595 10750995
NC_047158.1 10750601 10751001
NC_047158.1 10767918 10768318
NC_047158.1 10773396 10773796
NC_047158.1 10781293 10781693
NC_047158.1 10909130 10909530
NC_047158.1 10909135 10909535
NC_047158.1 10965173 10965573
NC_047158.1 11101845 11102245
NC_047158.1 11166890 11167290
NC_047158.1 11176540 11176940
NC_047158.1 11176560 11176961
NC_047158.1 11373554 11373954
NC_047158.1 11427355 11427755
NC_047158.1 11427406 11427805
NC_047158.1 11518128 11518528
NC_047158.1 11595471 11595871
NC_047162.1 180578 522171
NC_047162.1 807781 808181
NC_047162.1 807938 808339
NC_047162.1 1006627 1007027
NC_047162.1 1006628 1007029
NC_047162.1 1019697 1020097
NC_047162.1 1255397 1255797
NC_047162.1 1255526 1255926
NC_047162.1 1466888 1467288
NC_047162.1 1467138 1467538
NC_047162.1 1467203 1467603
