"CpGlist_best","n","type"
"NC_047152.1.5986",97,"Age"
"NC_047153.1.32663007",96,"Age"
"NC_047153.1.32663014",94,"Age"
"NC_047153.1.32669085",84,"Age"
"NC_047172.1.26309369",84,"Age"
"NC_047161.1.22201614",74,"Age"
"(Intercept)",67,"Age"
"NC_047169.1.16885311",64,"Age"
"NC_047159.1.29169109",54,"Age"
"NC_047151.1.380",50,"Age"
"NC_047155.1.30751963",45,"Age"
"NC_047152.1.2310",44,"Age"
"NC_047151.1.11792",43,"Age"
"NC_047155.1.30745806",39,"Age"
"NC_047155.1.30750957",37,"Age"
"NC_047151.1.1363",32,"Age"
"NC_047172.1.26307026",28,"Age"
"NC_047172.1.26308364",28,"Age"
"NC_047152.1.7322",26,"Age"
"NC_047168.1.6544",26,"Age"
"NC_047151.1.5724",25,"Age"
"NC_047159.1.29166769",21,"Age"
"NC_047162.1.17156",21,"Age"
"NC_047172.1.26303009",21,"Age"
"(Intercept)",99,"Length"
"NC_047174.1.21435055",99,"Length"
"NC_047155.1.30749968",89,"Length"
"NC_047155.1.30749276",74,"Length"
"NC_047172.1.26302005",73,"Length"
"NC_047153.1.32664011",72,"Length"
"NC_047172.1.26309369",65,"Length"
"NC_047153.1.32663007",57,"Length"
"NC_047151.1.10083",50,"Length"
"NC_047172.1.26301670",45,"Length"
"NC_047151.1.387",44,"Length"
"NC_047152.1.3646",44,"Length"
"NC_047172.1.26300329",40,"Length"
"NC_047172.1.26311408",34,"Length"
"NC_047151.1.4382",30,"Length"
"NC_047159.1.29170064",30,"Length"
"NC_047151.1.15812",29,"Length"
"NC_047153.1.32666784",28,"Length"
"NC_047153.1.32672419",27,"Length"
"NC_047162.1.17156",27,"Length"
"NC_047151.1.10551",25,"Length"
"NC_047159.1.29159369",25,"Length"
"NC_047165.1.15412581",25,"Length"
"NC_047165.1.15411799",24,"Length"
"NC_047172.1.26302372",23,"Length"
