CpGlist_best,CHROM,POS,ModelType,AgeRange,Region,DataSet
NC_047151.1.45,NC_047151.1,45,Length,Age4to15,1,Combined
NC_047151.1.51,NC_047151.1,51,Length,Both,1,Combined
NC_047151.1.2369,NC_047151.1,2369,Age,Age4to15,1,Combined
NC_047151.1.2730,NC_047151.1,2730,Age,Age4to15,1,Combined
NC_047151.1.2736,NC_047151.1,2736,Length,Age4to15,1,Combined
NC_047151.1.3072,NC_047151.1,3072,Length,Age4to29,1,Combined
NC_047151.1.3712,NC_047151.1,3712,Length,Age4to15,1,Combined
NC_047151.1.3735,NC_047151.1,3735,Length,Age4to29,1,Combined
NC_047151.1.4413,NC_047151.1,4413,Length,Age4to29,1,Combined
NC_047151.1.4742,NC_047151.1,4742,Age,Age4to15,1,Combined
NC_047151.1.5724,NC_047151.1,5724,Age,Age4to15,1,Combined
NC_047151.1.6754,NC_047151.1,6754,Age,Age4to15,1,Combined
NC_047151.1.7401,NC_047151.1,7401,Age,Age4to15,1,Combined
NC_047151.1.7433,NC_047151.1,7433,Length,Age4to15,1,Combined
NC_047151.1.9078,NC_047151.1,9078,Age,Age4to15,1,Combined
NC_047151.1.9415,NC_047151.1,9415,Length,Age4to15,1,Combined
NC_047151.1.9880,NC_047151.1,9880,Length,Age4to29,1,Combined
NC_047151.1.10551,NC_047151.1,10551,Both,Both,1,Combined
NC_047151.1.10785,NC_047151.1,10785,Both,Both,1,Combined
NC_047151.1.11792,NC_047151.1,11792,Age,Age4to29,1,Combined
NC_047151.1.13780,NC_047151.1,13780,Length,Age4to15,1,Combined
NC_047151.1.13802,NC_047151.1,13802,Length,Age4to29,1,Combined
NC_047151.1.14473,NC_047151.1,14473,Age,Age4to15,1,Combined
NC_047151.1.15136,NC_047151.1,15136,Length,Age4to15,1,Combined
NC_047151.1.15471,NC_047151.1,15471,Age,Age4to15,1,Combined
NC_047151.1.15478,NC_047151.1,15478,Length,Age4to29,1,Combined
NC_047151.1.9128946,NC_047151.1,9128946,Length,Age4to15,2,Combined
NC_047152.1.1306,NC_047152.1,1306,Length,Age4to15,3,Combined
NC_047152.1.5986,NC_047152.1,5986,Age,Age4to29,3,Combined
NC_047152.1.11751,NC_047152.1,11751,Length,Age4to15,3,Combined
NC_047153.1.31186743,NC_047153.1,31186743,Length,Age4to29,4,Combined
NC_047153.1.32661362,NC_047153.1,32661362,Length,Age4to15,4,Combined
NC_047153.1.32663340,NC_047153.1,32663340,Age,Both,4,Combined
NC_047153.1.32663347,NC_047153.1,32663347,Age,Age4to15,4,Combined
NC_047153.1.32664060,NC_047153.1,32664060,Length,Both,4,Combined
NC_047153.1.32666356,NC_047153.1,32666356,Length,Age4to29,4,Combined
NC_047153.1.32666785,NC_047153.1,32666785,Both,Age4to29,4,Combined
NC_047153.1.32666836,NC_047153.1,32666836,Length,Age4to29,4,Combined
NC_047153.1.32668125,NC_047153.1,32668125,Length,Age4to29,4,Combined
NC_047153.1.32668366,NC_047153.1,32668366,Length,Age4to29,4,Combined
NC_047153.1.32668700,NC_047153.1,32668700,Age,Age4to15,4,Combined
NC_047153.1.32668795,NC_047153.1,32668795,Length,Age4to29,4,Combined
NC_047153.1.32669737,NC_047153.1,32669737,Length,Age4to15,4,Combined
NC_047153.1.32669799,NC_047153.1,32669799,Length,Both,4,Combined
NC_047153.1.32669800,NC_047153.1,32669800,Age,Both,4,Combined
NC_047153.1.32670710,NC_047153.1,32670710,Age,Age4to29,4,Combined
NC_047153.1.32671095,NC_047153.1,32671095,Length,Age4to15,4,Combined
NC_047153.1.32672745,NC_047153.1,32672745,Length,Age4to15,4,Combined
NC_047153.1.32673649,NC_047153.1,32673649,Length,Age4to29,4,Combined
NC_047153.1.32673737,NC_047153.1,32673737,Age,Age4to15,4,Combined
NC_047153.1.32675405,NC_047153.1,32675405,Length,Age4to29,4,Combined
NC_047155.1.24555900,NC_047155.1,24555900,Age,Age4to29,5,Combined
NC_047155.1.30740795,NC_047155.1,30740795,Length,Age4to29,6,Combined
NC_047155.1.30743856,NC_047155.1,30743856,Age,Age4to15,6,Combined
NC_047155.1.30744495,NC_047155.1,30744495,Age,Age4to15,6,Combined
NC_047155.1.30744502,NC_047155.1,30744502,Length,Age4to29,6,Combined
NC_047155.1.30745713,NC_047155.1,30745713,Age,Age4to15,6,Combined
NC_047155.1.30745806,NC_047155.1,30745806,Age,Both,6,Combined
NC_047155.1.30745807,NC_047155.1,30745807,Age,Both,6,Combined
NC_047155.1.30747359,NC_047155.1,30747359,Both,Age4to29,6,Combined
NC_047155.1.30747622,NC_047155.1,30747622,Length,Age4to15,6,Combined
NC_047155.1.30748169,NC_047155.1,30748169,Age,Age4to29,6,Combined
NC_047155.1.30748605,NC_047155.1,30748605,Age,Age4to29,6,Combined
NC_047155.1.30749276,NC_047155.1,30749276,Length,Age4to15,6,Combined
NC_047155.1.30749282,NC_047155.1,30749282,Age,Age4to15,6,Combined
NC_047155.1.30750614,NC_047155.1,30750614,Age,Age4to29,6,Combined
NC_047155.1.30750956,NC_047155.1,30750956,Length,Age4to15,6,Combined
NC_047155.1.30751619,NC_047155.1,30751619,Age,Age4to29,6,Combined
NC_047155.1.30751668,NC_047155.1,30751668,Length,Both,6,Combined
NC_047157.1.604941,NC_047157.1,604941,Length,Age4to29,7,Combined
NC_047157.1.1787777,NC_047157.1,1787777,Length,Age4to15,8,Combined
NC_047159.1.29159906,NC_047159.1,29159906,Length,Age4to29,9,Combined
NC_047159.1.29160008,NC_047159.1,29160008,Length,Age4to29,9,Combined
NC_047159.1.29166056,NC_047159.1,29166056,Age,Age4to15,9,Combined
NC_047159.1.29170063,NC_047159.1,29170063,Age,Age4to29,9,Combined
NC_047161.1.22178599,NC_047161.1,22178599,Length,Age4to15,10,Combined
NC_047161.1.22201614,NC_047161.1,22201614,Age,Age4to29,10,Combined
NC_047163.1.18713047,NC_047163.1,18713047,Age,Age4to29,11,Combined
NC_047163.1.21495116,NC_047163.1,21495116,Age,Age4to15,12,Combined
NC_047163.1.29031803,NC_047163.1,29031803,Length,Age4to15,13,Combined
NC_047163.1.29066999,NC_047163.1,29066999,Length,Age4to15,13,Combined
NC_047163.1.29069872,NC_047163.1,29069872,Age,Age4to15,13,Combined
NC_047163.1.29069978,NC_047163.1,29069978,Length,Age4to15,13,Combined
NC_047163.1.29070020,NC_047163.1,29070020,Age,Age4to15,13,Combined
NC_047164.1.2171775,NC_047164.1,2171775,Length,Age4to29,14,Combined
NC_047164.1.2171813,NC_047164.1,2171813,Length,Age4to29,14,Combined
NC_047164.1.24801420,NC_047164.1,24801420,Age,Both,15,Combined
NC_047165.1.906817,NC_047165.1,906817,Age,Age4to15,16,Combined
NC_047165.1.906821,NC_047165.1,906821,Age,Age4to15,16,Combined
NC_047165.1.907148,NC_047165.1,907148,Length,Age4to29,16,Combined
NC_047165.1.908834,NC_047165.1,908834,Age,Age4to15,16,Combined
NC_047165.1.910853,NC_047165.1,910853,Age,Age4to29,16,Combined
NC_047165.1.912498,NC_047165.1,912498,Length,Age4to15,16,Combined
NC_047165.1.912711,NC_047165.1,912711,Length,Age4to15,16,Combined
NC_047165.1.15408994,NC_047165.1,15408994,Length,Age4to15,17,Combined
NC_047165.1.15411799,NC_047165.1,15411799,Length,Age4to15,17,Combined
NC_047165.1.15411811,NC_047165.1,15411811,Length,Age4to15,17,Combined
NC_047165.1.15411905,NC_047165.1,15411905,Length,Age4to15,17,Combined
NC_047165.1.15412428,NC_047165.1,15412428,Length,Age4to29,17,Combined
NC_047167.1.11015458,NC_047167.1,11015458,Age,Age4to15,18,Combined
NC_047168.1.480431,NC_047168.1,480431,Length,Both,19,Combined
NC_047169.1.16885311,NC_047169.1,16885311,Age,Age4to29,20,Combined
NC_047170.1.1363,NC_047170.1,1363,Age,Age4to29,21,Combined
NC_047170.1.1435,NC_047170.1,1435,Age,Age4to29,21,Combined
NC_047170.1.1470,NC_047170.1,1470,Age,Both,21,Combined
NC_047170.1.1540,NC_047170.1,1540,Age,Age4to29,21,Combined
NC_047171.1.2287136,NC_047171.1,2287136,Length,Age4to15,22,Combined
NC_047171.1.15408463,NC_047171.1,15408463,Length,Age4to15,23,Combined
NC_047171.1.15409738,NC_047171.1,15409738,Length,Age4to15,23,Combined
NC_047171.1.25040373,NC_047171.1,25040373,Length,Age4to15,24,Combined
NC_047171.1.25040474,NC_047171.1,25040474,Length,Age4to15,24,Combined
NC_047171.1.25040623,NC_047171.1,25040623,Length,Age4to15,24,Combined
NC_047172.1.24804623,NC_047172.1,24804623,Age,Age4to15,25,Combined
NC_047172.1.24835778,NC_047172.1,24835778,Length,Age4to15,25,Combined
NC_047172.1.24895667,NC_047172.1,24895667,Length,Age4to15,25,Combined
NC_047172.1.26288943,NC_047172.1,26288943,Length,Age4to29,26,Combined
NC_047172.1.26289238,NC_047172.1,26289238,Length,Age4to15,26,Combined
NC_047172.1.26290161,NC_047172.1,26290161,Length,Age4to15,26,Combined
NC_047172.1.26290162,NC_047172.1,26290162,Age,Age4to15,26,Combined
NC_047172.1.26293714,NC_047172.1,26293714,Both,Age4to29,26,Combined
NC_047172.1.26293982,NC_047172.1,26293982,Age,Age4to29,26,Combined
NC_047172.1.26294006,NC_047172.1,26294006,Age,Age4to29,26,Combined
NC_047172.1.26294605,NC_047172.1,26294605,Length,Age4to15,26,Combined
NC_047172.1.26299324,NC_047172.1,26299324,Age,Age4to15,26,Combined
NC_047172.1.26300378,NC_047172.1,26300378,Length,Age4to29,26,Combined
NC_047172.1.26301048,NC_047172.1,26301048,Length,Age4to15,26,Combined
NC_047172.1.26303009,NC_047172.1,26303009,Age,Age4to29,26,Combined
NC_047172.1.26305026,NC_047172.1,26305026,Length,Age4to15,26,Combined
NC_047172.1.26305253,NC_047172.1,26305253,Length,Age4to29,26,Combined
NC_047172.1.26305360,NC_047172.1,26305360,Length,Both,26,Combined
NC_047172.1.26306357,NC_047172.1,26306357,Age,Age4to15,26,Combined
NC_047172.1.26306691,NC_047172.1,26306691,Length,Age4to15,26,Combined
NC_047172.1.26307361,NC_047172.1,26307361,Age,Both,26,Combined
