"CpGlist_best","n","type"
"NC_047153.1.32669800",91,"Age"
"NC_047151.1.10785",87,"Age"
"NC_047155.1.30751619",75,"Age"
"(Intercept)",73,"Age"
"NC_047151.1.8105",65,"Age"
"NC_047172.1.26293986",65,"Age"
"NC_047151.1.11791",42,"Age"
"NC_047153.1.32668701",35,"Age"
"NC_047169.1.16885311",32,"Age"
"NC_047153.1.32668365",30,"Age"
"NC_047153.1.32672387",30,"Age"
"NC_047151.1.11792",28,"Age"
"NC_047151.1.9880",27,"Age"
"NC_047172.1.26307361",27,"Age"
"NC_047172.1.26303009",26,"Age"
"NC_047152.1.7323",23,"Age"
"(Intercept)",100,"Length"
"NC_047151.1.6425",95,"Length"
"NC_047151.1.11791",68,"Length"
"NC_047155.1.30751668",59,"Length"
"NC_047174.1.21430941",58,"Length"
"NC_047155.1.30747265",54,"Length"
"NC_047174.1.21435055",53,"Length"
"NC_047153.1.32669799",51,"Length"
"NC_047155.1.30751619",49,"Length"
"NC_047151.1.9880",45,"Length"
"NC_047174.1.21427009",45,"Length"
"NC_047153.1.32666784",40,"Length"
"NC_047153.1.32666785",38,"Length"
"NC_047153.1.32672387",32,"Length"
"NC_047172.1.26293667",25,"Length"
"NC_047151.1.10785",23,"Length"
"NC_047153.1.32668125",21,"Length"
