CHROM,StartPOS,EndPOS
NC_047151.1,45,51
NC_047151.1,2369,7433
NC_047151.1,9415,10785
NC_047151.1,12095,12095
NC_047151.1,13802,15471
NC_047151.1,936054,936054
NC_047151.1,9128946,9128946
NC_047151.1,9128946,9128946
NC_047152.1,1306,1306
NC_047152.1,5986,5986
NC_047152.1,11751,11751
NC_047153.1,31186743,32663340
NC_047153.1,32663347,32664060
NC_047153.1,32666785,32671095
NC_047153.1,32673649,32673737
NC_047155.1,24555900,30740795
NC_047155.1,30744495,30744495
NC_047155.1,30744502,30744502
NC_047155.1,30745806,30745807
NC_047155.1,30747622,30749282
NC_047155.1,30750614,30751668
NC_047157.1,604941,604941
NC_047159.1,29159906,29160008
NC_047159.1,29165763,29165763
NC_047159.1,29166056,29166056
NC_047159.1,29170063,29170063
NC_047161.1,22177668,22178599
NC_047161.1,22201614,22201614
NC_047163.1,18713047,21495116
NC_047163.1,29031803,29031803
NC_047163.1,29066999,29066999
NC_047163.1,29069872,29069872
NC_047163.1,29069978,29070020
NC_047164.1,2171775,2171813
NC_047164.1,24801420,24801420
NC_047165.1,906817,906821
NC_047165.1,910853,910853
NC_047165.1,912498,912498
NC_047165.1,912711,912711
NC_047165.1,15411811,15411811
NC_047165.1,15411905,15412428
NC_047167.1,11015458,11015458
NC_047168.1,480431,480431
NC_047169.1,16885311,16885311
NC_047170.1,1363,1540
NC_047171.1,2287136,15408463
NC_047171.1,15409738,15409738
NC_047171.1,25040373,25040373
NC_047171.1,25040474,25040623
NC_047172.1,24804623,24835778
NC_047172.1,24895667,24895667
NC_047172.1,26288943,26288943
NC_047172.1,26289238,26290162
NC_047172.1,26293982,26294605
NC_047172.1,26300378,26300378
NC_047172.1,26301048,26301048
NC_047172.1,26303344,26303344
NC_047172.1,26305253,26307361
NC_047172.1,26309369,26309369
NC_047172.1,26311042,26311042
NC_047172.1,26311377,26311377
NC_047174.1,21421469,21422892
NC_047174.1,21423903,21423903
NC_047174.1,21425138,21425138
NC_047174.1,21427009,21427009
NC_047174.1,21428354,21428354
NC_047174.1,21430655,21430655
NC_047174.1,21431627,21431948
NC_047174.1,21435010,21435056
