CHROM StartPOS EndPOS
NC_047151.1 1 407
NC_047151.1 5524 5924
NC_047151.1 6225 6625
NC_047151.1 6554 6954
NC_047151.1 7201 7601
NC_047151.1 7906 8306
NC_047151.1 8878 9278
NC_047151.1 8909 9309
NC_047151.1 10351 10751
NC_047151.1 14273 14673
NC_047151.1 14936 15336
NC_047151.1 14943 15343
NC_047151.1 15271 15671
NC_047153.1 32663144 32663543
NC_047153.1 32663860 32664260
NC_047153.1 32666585 32666985
NC_047153.1 32667518 32667918
NC_047153.1 32668500 32668900
NC_047153.1 32669537 32669937
NC_047153.1 32669600 32670000
NC_047153.1 32670895 32671295
NC_047155.1 30744495 30745713
NC_047155.1 30745564 30745963
NC_047155.1 30747422 30747822
NC_047155.1 30749076 30749476
NC_047155.1 30750756 30751156
NC_047155.1 30750756 30751156
NC_047159.1 29162690 29163394
NC_047159.1 29163529 29163929
NC_047159.1 29164867 29165267
NC_047159.1 29164876 29165276
NC_047159.1 29165855 29166255
NC_047161.1 22178599 22184064
NC_047163.1 21495116 29066999
NC_047163.1 29069778 29070178
NC_047163.1 29069820 29070220
NC_047164.1 24801220 24801620
NC_047165.1 908834 912025
NC_047165.1 15411611 15412011
NC_047165.1 15411705 15412105
NC_047165.1 15412084 15412484
NC_047167.1 11015233 11015633
NC_047168.1 480231 480631
NC_047171.1 15408567 15409282
NC_047171.1 15409538 15409938
NC_047171.1 25040173 25040573
NC_047171.1 25040300 25040700
NC_047172.1 24804623 24835778
NC_047172.1 24895467 24895867
NC_047172.1 26289961 26290361
NC_047172.1 26289962 26290362
NC_047172.1 26300129 26300529
NC_047172.1 26300178 26300578
NC_047172.1 26302148 26302548
NC_047172.1 26304826 26305226
NC_047172.1 26306157 26306557
NC_047172.1 26306498 26306898
NC_047172.1 26307162 26307562
NC_047172.1 26309169 26309569
NC_047172.1 26310842 26311242
NC_047172.1 26311177 26311577
NC_047172.1 26311177 26311577
NC_047174.1 21423903 21427009
NC_047174.1 21429782 21430182
NC_047174.1 21430456 21430856
NC_047174.1 21431427 21431827
NC_047174.1 21434792 21435192
NC_047174.1 21434833 21435234
