CHROM,POS
NC_047151.1,45
NC_047151.1,51
NC_047151.1,4742
NC_047151.1,5724
NC_047151.1,6425
NC_047151.1,6754
NC_047151.1,7401
NC_047151.1,8106
NC_047151.1,9078
NC_047151.1,9109
NC_047151.1,10551
NC_047151.1,10551
NC_047151.1,11120
NC_047151.1,14473
NC_047151.1,15136
NC_047151.1,15143
NC_047151.1,15471
NC_047153.1,32663340
NC_047153.1,32663347
NC_047153.1,32663683
NC_047153.1,32664060
NC_047153.1,32666785
NC_047153.1,32667718
NC_047153.1,32668700
NC_047153.1,32669737
NC_047153.1,32669800
NC_047153.1,32671095
NC_047155.1,30744495
NC_047155.1,30745713
NC_047155.1,30745720
NC_047155.1,30745807
NC_047155.1,30747359
NC_047155.1,30747622
NC_047155.1,30749276
NC_047155.1,30750956
NC_047159.1,29162690
NC_047159.1,29163394
NC_047159.1,29163729
NC_047159.1,29165067
NC_047159.1,29165076
NC_047159.1,29166055
NC_047161.1,22178599
NC_047161.1,22184064
NC_047163.1,21495116
NC_047163.1,29066999
NC_047163.1,29069978
NC_047163.1,29070020
NC_047164.1,24801420
NC_047165.1,908834
NC_047165.1,912025
NC_047165.1,15411811
NC_047165.1,15411905
NC_047165.1,15412284
NC_047167.1,11015433
NC_047168.1,480431
NC_047171.1,15408567
NC_047171.1,15409282
NC_047171.1,15409738
NC_047171.1,25040373
NC_047171.1,25040377
NC_047171.1,25040474
NC_047171.1,25040623
NC_047172.1,24804623
NC_047172.1,24835778
NC_047172.1,24895667
NC_047172.1,26290161
NC_047172.1,26290162
NC_047172.1,26299324
NC_047172.1,26300329
NC_047172.1,26300378
NC_047172.1,26301048
NC_047172.1,26302348
NC_047172.1,26305026
NC_047172.1,26306357
NC_047172.1,26306698
NC_047172.1,26307362
NC_047172.1,26309369
NC_047172.1,26311042
NC_047172.1,26311377
NC_047174.1,21423903
NC_047174.1,21427009
NC_047174.1,21429982
NC_047174.1,21430656
NC_047174.1,21431627
NC_047174.1,21434992
NC_047174.1,21435011
NC_047174.1,21435055
NC_047174.1,21435056
