"CpGlist_best","n"
"NC_047151.1.15471",99
"NC_047163.1.29070020",91
"NC_047153.1.32669800",85
"NC_047153.1.32663340",83
"NC_047151.1.9078",74
"NC_047151.1.10551",73
"NC_047151.1.5724",71
"NC_047155.1.30745713",70
"NC_047159.1.29166056",66
"NC_047164.1.24801420",66
"NC_047155.1.30745807",64
"NC_047153.1.32666785",63
"NC_047151.1.4742",60
"NC_047163.1.21495116",57
"NC_047151.1.14473",53
"NC_047155.1.30744495",52
"NC_047153.1.32673737",51
"NC_047172.1.24804623",49
"NC_047153.1.32663347",47
"NC_047174.1.21430655",45
"NC_047151.1.2730",43
"NC_047167.1.11015458",40
"NC_047172.1.26306357",38
"NC_047174.1.21435010",37
"NC_047151.1.10785",34
"NC_047172.1.26307361",34
"NC_047151.1.7401",30
"NC_047165.1.908834",30
"NC_047165.1.906821",27
"NC_047155.1.30745806",26
"NC_047151.1.2369",25
"NC_047151.1.6754",25
"NC_047163.1.29069872",25
"NC_047174.1.21434992",25
"NC_047165.1.906817",24
"NC_047172.1.26290162",24
"NC_047153.1.32668700",23
"NC_047172.1.26303344",23
"NC_047172.1.26299324",22
"NC_047155.1.30749282",21
"(Intercept)",94
"NC_047151.1.10551",91
"NC_047171.1.25040373",86
"NC_047172.1.26290161",82
"NC_047174.1.21435011",79
"NC_047172.1.24895667",71
"NC_047174.1.21435056",70
"NC_047171.1.15409738",69
"NC_047172.1.26311042",68
"NC_047172.1.26305360",63
"NC_047151.1.45",53
"NC_047151.1.15136",52
"NC_047151.1.7433",51
"NC_047165.1.912498",50
"NC_047172.1.26305026",50
"NC_047151.1.9415",49
"NC_047152.1.1306",46
"NC_047171.1.15408463",46
"NC_047174.1.21427009",46
"NC_047153.1.32664060",43
"NC_047163.1.29066999",43
"NC_047151.1.13780",42
"NC_047153.1.32672745",42
"NC_047168.1.480431",41
"NC_047153.1.32671095",40
"NC_047155.1.30750956",40
"NC_047174.1.21423903",40
"NC_047172.1.26309369",39
"NC_047174.1.21435055",38
"NC_047172.1.26306691",37
"NC_047174.1.21431627",37
"NC_047165.1.15411905",36
"NC_047153.1.32669799",34
"NC_047174.1.21421469",34
"NC_047163.1.29031803",33
"NC_047151.1.51",32
"NC_047152.1.11751",32
"NC_047172.1.26301048",32
"NC_047159.1.29165763",31
"NC_047151.1.9128946",30
"NC_047165.1.15411811",30
"NC_047172.1.24835778",30
"NC_047161.1.22178599",29
"NC_047165.1.15408994",29
"NC_047155.1.30747622",28
"NC_047151.1.3712",27
"NC_047151.1.3735",27
"NC_047165.1.912711",27
"NC_047171.1.25040623",27
"NC_047172.1.26289238",27
"NC_047151.1.2736",26
"NC_047171.1.2287136",26
"NC_047171.1.25040474",25
"NC_047151.1.12095",24
"NC_047153.1.32669737",23
"NC_047155.1.30749276",23
"NC_047159.1.29162690",23
"NC_047172.1.26294605",23
"NC_047163.1.29069978",22
"NC_047172.1.26311377",22
