chrBase	chr	base	strand	coverage	freqC	freqT
NC_047151.1.10083	NC_047151.1	10083	F	4709	42.49	57.51
NC_047151.1.10107	NC_047151.1	10107	F	3750	66.27	33.73
NC_047151.1.10114	NC_047151.1	10114	F	3465	71.92	28.08
NC_047151.1.10195	NC_047151.1	10195	F	622	41.32	58.68
NC_047151.1.10251	NC_047151.1	10251	F	359	68.80	31.20
NC_047151.1.1026	NC_047151.1	1026	F	205	36.59	63.41
NC_047151.1.10304	NC_047151.1	10304	F	440	81.36	18.64
NC_047151.1.10419	NC_047151.1	10419	F	684	34.94	65.06
NC_047151.1.10443	NC_047151.1	10443	F	619	62.84	37.16
NC_047151.1.10450	NC_047151.1	10450	F	614	67.92	32.08
NC_047151.1.1050	NC_047151.1	1050	F	215	67.91	32.09
NC_047151.1.10531	NC_047151.1	10531	F	175	49.71	50.29
NC_047151.1.10550	NC_047151.1	10550	F	56	50.00	50.00
NC_047151.1.1057	NC_047151.1	1057	F	227	77.53	22.47
NC_047151.1.10585	NC_047151.1	10585	F	240	65.83	34.17
NC_047151.1.10638	NC_047151.1	10638	F	520	82.31	17.69
NC_047151.1.10753	NC_047151.1	10753	F	608	27.96	72.04
NC_047151.1.10762	NC_047151.1	10762	F	542	38.93	61.07
NC_047151.1.10784	NC_047151.1	10784	F	466	56.65	43.35
NC_047151.1.10865	NC_047151.1	10865	F	200	54.00	46.00
NC_047151.1.10920	NC_047151.1	10920	F	114	71.05	28.95
NC_047151.1.10974	NC_047151.1	10974	F	55	69.09	30.91
NC_047151.1.11089	NC_047151.1	11089	F	205	45.85	54.15
NC_047151.1.11098	NC_047151.1	11098	F	195	56.92	43.08
NC_047151.1.11120	NC_047151.1	11120	F	290	66.55	33.45
NC_047151.1.11201	NC_047151.1	11201	F	556	54.32	45.68
NC_047151.1.11256	NC_047151.1	11256	F	619	73.83	26.17
NC_047151.1.11309	NC_047151.1	11309	F	546	84.07	15.93
NC_047151.1.1138	NC_047151.1	1138	F	304	39.14	60.86
NC_047151.1.11406	NC_047151.1	11406	F	742	52.83	47.17
NC_047151.1.11424	NC_047151.1	11424	F	841	33.53	66.47
NC_047151.1.11441	NC_047151.1	11441	F	837	61.65	38.35
NC_047151.1.11448	NC_047151.1	11448	F	936	56.73	43.27
NC_047151.1.11455	NC_047151.1	11455	F	949	65.12	34.88
NC_047151.1.11536	NC_047151.1	11536	F	940	47.55	52.45
NC_047151.1.11556	NC_047151.1	11556	F	843	32.03	67.97
NC_047151.1.11591	NC_047151.1	11591	F	683	70.28	29.72
NC_047151.1.11629	NC_047151.1	11629	F	490	61.43	38.57
NC_047151.1.11644	NC_047151.1	11644	F	386	74.87	25.13
NC_047151.1.11760	NC_047151.1	11760	F	268	31.34	68.66
NC_047151.1.11769	NC_047151.1	11769	F	253	43.48	56.52
NC_047151.1.11791	NC_047151.1	11791	F	233	48.07	51.93
NC_047151.1.11872	NC_047151.1	11872	F	81	50.62	49.38
NC_047151.1.11927	NC_047151.1	11927	F	31	77.42	22.58
NC_047151.1.1194	NC_047151.1	1194	F	274	62.41	37.59
NC_047151.1.11980	NC_047151.1	11980	F	46	93.48	6.52
NC_047151.1.12095	NC_047151.1	12095	F	173	53.18	46.82
NC_047151.1.12104	NC_047151.1	12104	F	205	59.51	40.49
NC_047151.1.12126	NC_047151.1	12126	F	223	69.96	30.04
NC_047151.1.12207	NC_047151.1	12207	F	258	48.84	51.16
NC_047151.1.12262	NC_047151.1	12262	F	142	64.79	35.21
NC_047151.1.12300	NC_047151.1	12300	F	94	63.83	36.17
