CHROM MapInfo Type
NC_047151.1 45 Length
NC_047151.1 51 Length
NC_047151.1 4742 Age
NC_047151.1 5724 Age
NC_047151.1 6425 Age
NC_047151.1 6754 Age
NC_047151.1 7401 Age
NC_047151.1 8106 Length
NC_047151.1 9078 Age
NC_047151.1 9109 Length
NC_047151.1 10551 Age
NC_047151.1 10551 Length
NC_047151.1 11120 Age
NC_047151.1 14473 Age
NC_047151.1 15136 Length
NC_047151.1 15143 Length
NC_047151.1 15471 Age
NC_047153.1 32663340 Age
NC_047153.1 32663347 Age
NC_047153.1 32663683 Age
NC_047153.1 32664060 Length
NC_047153.1 32666785 Age
NC_047153.1 32667718 Length
NC_047153.1 32668700 Age
NC_047153.1 32669737 Length
NC_047153.1 32669800 Age
NC_047153.1 32671095 Length
NC_047155.1 30744495 Age
NC_047155.1 30745713 Age
NC_047155.1 30745720 Age
NC_047155.1 30745807 Age
NC_047155.1 30747359 Length
NC_047155.1 30747622 Length
NC_047155.1 30749276 Length
NC_047155.1 30750956 Length
NC_047159.1 29162690 Length
NC_047159.1 29163394 Length
NC_047159.1 29163729 Age
NC_047159.1 29165067 Age
NC_047159.1 29165076 Length
NC_047159.1 29166055 Age
NC_047161.1 22178599 Length
NC_047161.1 22184064 Length
NC_047163.1 21495116 Age
NC_047163.1 29066999 Length
NC_047163.1 29069978 Length
NC_047163.1 29070020 Age
NC_047164.1 24801420 Age
NC_047165.1 908834 Age
NC_047165.1 912025 Length
NC_047165.1 15411811 Length
NC_047165.1 15411905 Length
NC_047165.1 15412284 Length
NC_047167.1 11015433 Length
NC_047168.1 480431 Length
NC_047171.1 15408567 Length
NC_047171.1 15409282 Length
NC_047171.1 15409738 Length
NC_047171.1 25040373 Length
NC_047171.1 25040377 Length
NC_047171.1 25040474 Length
NC_047171.1 25040623 Length
NC_047172.1 24804623 Age
NC_047172.1 24835778 Length
NC_047172.1 24895667 Length
NC_047172.1 26290161 Length
NC_047172.1 26290162 Age
NC_047172.1 26299324 Age
NC_047172.1 26300329 Length
NC_047172.1 26300378 Length
NC_047172.1 26301048 Length
NC_047172.1 26302348 Age
NC_047172.1 26305026 Length
NC_047172.1 26306357 Length
NC_047172.1 26306698 Length
NC_047172.1 26307362 Age
NC_047172.1 26309369 Length
NC_047172.1 26311042 Length
NC_047172.1 26311377 Length
NC_047174.1 21423903 Length
NC_047174.1 21427009 Length
NC_047174.1 21429982 Length
NC_047174.1 21430656 Length
NC_047174.1 21431627 Length
NC_047174.1 21434992 Age
NC_047174.1 21435011 Length
NC_047174.1 21435055 Length
NC_047174.1 21435056 Length
