chrBase	chr	base	strand	coverage	freqC	freqT
NC_047151.1.10083	NC_047151.1	10083	F	8568	30.57	69.43
NC_047151.1.10107	NC_047151.1	10107	F	6747	59.92	40.08
NC_047151.1.10114	NC_047151.1	10114	F	6247	67.23	32.77
NC_047151.1.10195	NC_047151.1	10195	F	1119	38.96	61.04
NC_047151.1.10251	NC_047151.1	10251	F	518	59.65	40.35
NC_047151.1.1026	NC_047151.1	1026	F	302	28.48	71.52
NC_047151.1.10304	NC_047151.1	10304	F	548	80.47	19.53
NC_047151.1.10419	NC_047151.1	10419	F	838	29.36	70.64
NC_047151.1.10443	NC_047151.1	10443	F	759	52.70	47.30
NC_047151.1.10450	NC_047151.1	10450	F	725	59.31	40.69
NC_047151.1.1050	NC_047151.1	1050	F	299	63.21	36.79
NC_047151.1.10531	NC_047151.1	10531	F	237	46.84	53.16
NC_047151.1.10550	NC_047151.1	10550	F	93	30.11	69.89
NC_047151.1.1057	NC_047151.1	1057	F	299	64.88	35.12
NC_047151.1.10585	NC_047151.1	10585	F	280	67.14	32.86
NC_047151.1.10638	NC_047151.1	10638	F	633	81.20	18.80
NC_047151.1.10753	NC_047151.1	10753	F	750	19.73	80.27
NC_047151.1.10762	NC_047151.1	10762	F	626	27.64	72.36
NC_047151.1.10784	NC_047151.1	10784	F	543	47.70	52.30
NC_047151.1.10865	NC_047151.1	10865	F	242	44.21	55.79
NC_047151.1.10920	NC_047151.1	10920	F	162	54.32	45.68
NC_047151.1.10974	NC_047151.1	10974	F	75	84.00	16.00
NC_047151.1.11089	NC_047151.1	11089	F	290	37.24	62.76
NC_047151.1.11098	NC_047151.1	11098	F	289	42.56	57.44
NC_047151.1.11120	NC_047151.1	11120	F	365	57.53	42.47
NC_047151.1.11201	NC_047151.1	11201	F	741	55.20	44.80
NC_047151.1.11256	NC_047151.1	11256	F	859	63.68	36.32
NC_047151.1.11309	NC_047151.1	11309	F	837	85.42	14.58
NC_047151.1.1138	NC_047151.1	1138	F	354	45.76	54.24
NC_047151.1.11406	NC_047151.1	11406	F	1023	38.22	61.78
NC_047151.1.11424	NC_047151.1	11424	F	1173	21.99	78.01
NC_047151.1.11441	NC_047151.1	11441	F	1153	48.57	51.43
NC_047151.1.11448	NC_047151.1	11448	F	1254	46.17	53.83
NC_047151.1.11455	NC_047151.1	11455	F	1313	54.68	45.32
NC_047151.1.11536	NC_047151.1	11536	F	1407	40.51	59.49
NC_047151.1.11556	NC_047151.1	11556	F	1263	21.69	78.31
NC_047151.1.11591	NC_047151.1	11591	F	1117	62.04	37.96
NC_047151.1.11629	NC_047151.1	11629	F	883	65.35	34.65
NC_047151.1.11644	NC_047151.1	11644	F	677	79.91	20.09
NC_047151.1.11760	NC_047151.1	11760	F	476	21.43	78.57
NC_047151.1.11769	NC_047151.1	11769	F	437	27.23	72.77
NC_047151.1.11791	NC_047151.1	11791	F	399	45.36	54.64
NC_047151.1.11872	NC_047151.1	11872	F	137	45.99	54.01
NC_047151.1.11927	NC_047151.1	11927	F	54	68.52	31.48
NC_047151.1.1194	NC_047151.1	1194	F	331	61.33	38.67
NC_047151.1.11980	NC_047151.1	11980	F	57	84.21	15.79
NC_047151.1.12095	NC_047151.1	12095	F	221	40.27	59.73
NC_047151.1.12104	NC_047151.1	12104	F	253	43.08	56.92
NC_047151.1.12126	NC_047151.1	12126	F	282	57.45	42.55
NC_047151.1.12207	NC_047151.1	12207	F	357	42.30	57.70
NC_047151.1.12262	NC_047151.1	12262	F	189	59.26	40.74
NC_047151.1.12300	NC_047151.1	12300	F	135	57.04	42.96
NC_047151.1.12315	NC_047151.1	12315	F	78	71.79	28.21
NC_047151.1.12430	NC_047151.1	12430	F	54	29.63	70.37
NC_047151.1.12454	NC_047151.1	12454	F	56	60.71	39.29
NC_047151.1.12461	NC_047151.1	12461	F	64	67.19	32.81
NC_047151.1.1247	NC_047151.1	1247	F	254	70.47	29.53
NC_047151.1.12542	NC_047151.1	12542	F	26	46.15	53.85
NC_047151.1.12650	NC_047151.1	12650	F	43	88.37	11.63
NC_047151.1.12765	NC_047151.1	12765	F	23	21.74	78.26
NC_047151.1.12877	NC_047151.1	12877	F	20	40.00	60.00
NC_047151.1.12932	NC_047151.1	12932	F	50	72.00	28.00
NC_047151.1.12985	NC_047151.1	12985	F	62	77.42	22.58
NC_047151.1.13101	NC_047151.1	13101	F	50	20.00	80.00
NC_047151.1.13110	NC_047151.1	13110	F	43	32.56	67.44
NC_047151.1.13132	NC_047151.1	13132	F	39	25.64	74.36
NC_047151.1.132	NC_047151.1	132	F	659	45.37	54.63
NC_047151.1.13213	NC_047151.1	13213	F	26	46.15	53.85
NC_047151.1.13548	NC_047151.1	13548	F	24	37.50	62.50
NC_047151.1.13603	NC_047151.1	13603	F	26	76.92	23.08
NC_047151.1.1363	NC_047151.1	1363	F	144	22.92	77.08
NC_047151.1.13656	NC_047151.1	13656	F	104	89.42	10.58
NC_047151.1.13771	NC_047151.1	13771	F	233	15.88	84.12
NC_047151.1.13780	NC_047151.1	13780	F	207	21.74	78.26
NC_047151.1.13802	NC_047151.1	13802	F	201	50.25	49.75
NC_047151.1.1387	NC_047151.1	1387	F	136	50.74	49.26
NC_047151.1.13883	NC_047151.1	13883	F	193	52.33	47.67
NC_047151.1.13938	NC_047151.1	13938	F	156	64.10	35.90
NC_047151.1.1394	NC_047151.1	1394	F	136	59.56	40.44
NC_047151.1.13991	NC_047151.1	13991	F	74	60.81	39.19
NC_047151.1.14106	NC_047151.1	14106	F	157	26.11	73.89
NC_047151.1.14130	NC_047151.1	14130	F	175	64.00	36.00
NC_047151.1.14137	NC_047151.1	14137	F	175	65.14	34.86
NC_047151.1.14218	NC_047151.1	14218	F	125	48.80	51.20
NC_047151.1.14273	NC_047151.1	14273	F	25	56.00	44.00
NC_047151.1.14441	NC_047151.1	14441	F	44	15.91	84.09
NC_047151.1.14465	NC_047151.1	14465	F	50	52.00	48.00
NC_047151.1.14472	NC_047151.1	14472	F	54	51.85	48.15
NC_047151.1.14553	NC_047151.1	14553	F	45	33.33	66.67
NC_047151.1.14608	NC_047151.1	14608	F	73	67.12	32.88
NC_047151.1.14661	NC_047151.1	14661	F	66	87.88	12.12
NC_047151.1.1475	NC_047151.1	1475	F	121	41.32	58.68
NC_047151.1.14776	NC_047151.1	14776	F	82	23.17	76.83
NC_047151.1.14800	NC_047151.1	14800	F	83	54.22	45.78
NC_047151.1.14807	NC_047151.1	14807	F	87	65.52	34.48
NC_047151.1.14888	NC_047151.1	14888	F	35	25.71	74.29
NC_047151.1.15111	NC_047151.1	15111	F	50	20.00	80.00
NC_047151.1.15135	NC_047151.1	15135	F	51	52.94	47.06
NC_047151.1.15142	NC_047151.1	15142	F	52	61.54	38.46
NC_047151.1.15223	NC_047151.1	15223	F	36	19.44	80.56
NC_047151.1.15278	NC_047151.1	15278	F	78	70.51	29.49
NC_047151.1.1530	NC_047151.1	1530	F	94	64.89	35.11
NC_047151.1.15331	NC_047151.1	15331	F	190	84.74	15.26
NC_047151.1.15446	NC_047151.1	15446	F	553	29.11	70.89
NC_047151.1.15470	NC_047151.1	15470	F	590	55.42	44.58
NC_047151.1.15477	NC_047151.1	15477	F	615	62.76	37.24
NC_047151.1.15558	NC_047151.1	15558	F	335	42.39	57.61
NC_047151.1.15613	NC_047151.1	15613	F	148	57.43	42.57
NC_047151.1.15651	NC_047151.1	15651	F	47	78.72	21.28
NC_047151.1.15666	NC_047151.1	15666	F	34	82.35	17.65
NC_047151.1.1568	NC_047151.1	1568	F	91	68.13	31.87
NC_047151.1.15781	NC_047151.1	15781	F	154	27.92	72.08
NC_047151.1.15805	NC_047151.1	15805	F	180	53.33	46.67
NC_047151.1.15812	NC_047151.1	15812	F	194	59.28	40.72
NC_047151.1.1583	NC_047151.1	1583	F	82	80.49	19.51
NC_047151.1.15893	NC_047151.1	15893	F	235	42.98	57.02
NC_047151.1.15913	NC_047151.1	15913	F	246	21.54	78.46
NC_047151.1.15948	NC_047151.1	15948	F	282	64.18	35.82
NC_047151.1.15986	NC_047151.1	15986	F	263	71.10	28.90
NC_047151.1.16001	NC_047151.1	16001	F	227	81.94	18.06
NC_047151.1.16115	NC_047151.1	16115	F	65	23.08	76.92
NC_047151.1.16139	NC_047151.1	16139	F	40	35.00	65.00
NC_047151.1.16146	NC_047151.1	16146	F	41	58.54	41.46
NC_047151.1.1698	NC_047151.1	1698	F	71	22.54	77.46
NC_047151.1.1722	NC_047151.1	1722	F	62	53.23	46.77
NC_047151.1.1729	NC_047151.1	1729	F	59	67.80	32.20
NC_047151.1.1810	NC_047151.1	1810	F	52	73.08	26.92
NC_047151.1.1865	NC_047151.1	1865	F	85	75.29	24.71
NC_047151.1.187	NC_047151.1	187	F	1028	64.49	35.51
NC_047151.1.1918	NC_047151.1	1918	F	101	75.25	24.75
NC_047151.1.20	NC_047151.1	20	F	67	26.87	73.13
NC_047151.1.2033	NC_047151.1	2033	F	54	29.63	70.37
NC_047151.1.2057	NC_047151.1	2057	F	31	45.16	54.84
NC_047151.1.2064	NC_047151.1	2064	F	29	62.07	37.93
NC_047151.1.2201	NC_047151.1	2201	F	50	68.00	32.00
NC_047151.1.225	NC_047151.1	225	F	1237	79.63	20.37
NC_047151.1.2254	NC_047151.1	2254	F	122	78.69	21.31
NC_047151.1.2369	NC_047151.1	2369	F	117	35.90	64.10
NC_047151.1.2393	NC_047151.1	2393	F	85	60.00	40.00
NC_047151.1.240	NC_047151.1	240	F	979	83.86	16.14
NC_047151.1.2400	NC_047151.1	2400	F	83	67.47	32.53
NC_047151.1.2481	NC_047151.1	2481	F	54	37.04	62.96
NC_047151.1.2537	NC_047151.1	2537	F	642	68.85	31.15
NC_047151.1.2575	NC_047151.1	2575	F	1175	82.04	17.96
NC_047151.1.2590	NC_047151.1	2590	F	872	83.94	16.06
NC_047151.1.2705	NC_047151.1	2705	F	502	25.90	74.10
NC_047151.1.2729	NC_047151.1	2729	F	402	59.20	40.80
NC_047151.1.2736	NC_047151.1	2736	F	412	64.08	35.92
NC_047151.1.2817	NC_047151.1	2817	F	1099	39.85	60.15
NC_047151.1.2872	NC_047151.1	2872	F	982	59.27	40.73
NC_047151.1.2925	NC_047151.1	2925	F	712	72.19	27.81
NC_047151.1.3041	NC_047151.1	3041	F	300	32.00	68.00
NC_047151.1.3065	NC_047151.1	3065	F	304	50.66	49.34
NC_047151.1.3072	NC_047151.1	3072	F	309	62.14	37.86
NC_047151.1.3153	NC_047151.1	3153	F	362	48.07	51.93
NC_047151.1.3208	NC_047151.1	3208	F	486	70.58	29.42
NC_047151.1.3246	NC_047151.1	3246	F	613	76.84	23.16
NC_047151.1.3261	NC_047151.1	3261	F	496	80.04	19.96
NC_047151.1.3376	NC_047151.1	3376	F	475	27.16	72.84
NC_047151.1.3400	NC_047151.1	3400	F	482	43.36	56.64
NC_047151.1.3407	NC_047151.1	3407	F	492	59.15	40.85
NC_047151.1.3488	NC_047151.1	3488	F	507	44.18	55.82
