CpGlist_best,ModelType,Region,DataSet
NC_047151.1.10785,Both,1,FemaleOnly
NC_047151.1.11791,Both,1,FemaleOnly
NC_047151.1.11792,Age,1,FemaleOnly
NC_047151.1.6425,Length,1,FemaleOnly
NC_047151.1.8105,Age,1,FemaleOnly
NC_047151.1.9880,Both,1,FemaleOnly
NC_047152.1.7323,Age,3,FemaleOnly
NC_047153.1.32666784,Length,4,FemaleOnly
NC_047153.1.32666785,Length,4,FemaleOnly
NC_047153.1.32668125,Length,4,FemaleOnly
NC_047153.1.32668365,Age,4,FemaleOnly
NC_047153.1.32668701,Age,4,FemaleOnly
NC_047153.1.32669799,Length,4,FemaleOnly
NC_047153.1.32669800,Age,4,FemaleOnly
NC_047153.1.32672387,Both,4,FemaleOnly
NC_047155.1.30747265,Length,6,FemaleOnly
NC_047155.1.30751619,Age,6,FemaleOnly
NC_047155.1.30751619,Length,6,FemaleOnly
NC_047155.1.30751668,Length,6,FemaleOnly
NC_047169.1.16885311,Age,20,FemaleOnly
NC_047172.1.26293667,Length,26,FemaleOnly
NC_047172.1.26293986,Age,26,FemaleOnly
NC_047172.1.26303009,Age,26,FemaleOnly
NC_047172.1.26307361,Age,26,FemaleOnly
NC_047174.1.21427009,Length,27,FemaleOnly
NC_047174.1.21430941,Length,27,FemaleOnly
NC_047174.1.21435055,Length,27,FemaleOnly
