CpGlist_best,n,CHROM,POS,ModelType,,
NC_047151.1.45,29,NC_047151.1,45,Length,,
NC_047151.1.51,33,NC_047151.1,51,Length,,
NC_047151.1.4742,47,NC_047151.1,4742,Age,,
NC_047151.1.5724,86,NC_047151.1,5724,Age,,
NC_047151.1.6425,69,NC_047151.1,6425,Age,,
NC_047151.1.6754,44,NC_047151.1,6754,Age,,
NC_047151.1.7401,87,NC_047151.1,7401,Age,,
NC_047151.1.8106,30,NC_047151.1,8106,Length,,
NC_047151.1.9078,77,NC_047151.1,9078,Age,,
NC_047151.1.9109,67,NC_047151.1,9109,Length,,
NC_047151.1.10551,43,NC_047151.1,10551,Age,,
NC_047151.1.10551,89,NC_047151.1,10551,Length,,
NC_047151.1.11120,24,NC_047151.1,11120,Age,,
NC_047151.1.14473,39,NC_047151.1,14473,Age,,
NC_047151.1.15136,52,NC_047151.1,15136,Length,,
NC_047151.1.15143,25,NC_047151.1,15143,Length,,
NC_047151.1.15471,100,NC_047151.1,15471,Age,,
NC_047153.1.32663340,28,NC_047153.1,32663340,Age,,
NC_047153.1.32663347,68,NC_047153.1,32663347,Age,,
NC_047153.1.32663683,51,NC_047153.1,32663683,Age,,
NC_047153.1.32664060,28,NC_047153.1,32664060,Length,,
NC_047153.1.32666785,44,NC_047153.1,32666785,Age,,
NC_047153.1.32667718,51,NC_047153.1,32667718,Length,,
NC_047153.1.32668700,52,NC_047153.1,32668700,Age,,
NC_047153.1.32669737,61,NC_047153.1,32669737,Length,,
NC_047153.1.32669800,63,NC_047153.1,32669800,Age,,
NC_047153.1.32671095,35,NC_047153.1,32671095,Length,,
NC_047155.1.30744495,37,NC_047155.1,30744495,Age,30739495,
NC_047155.1.30745713,63,NC_047155.1,30745713,Age,,
NC_047155.1.30745720,41,NC_047155.1,30745720,Age,,
NC_047155.1.30745807,93,NC_047155.1,30745807,Age,,
NC_047155.1.30747359,52,NC_047155.1,30747359,Length,,
NC_047155.1.30747622,41,NC_047155.1,30747622,Length,,
NC_047155.1.30749276,26,NC_047155.1,30749276,Length,,
NC_047155.1.30750956,26,NC_047155.1,30750956,Length,30755956,
NC_047159.1.29162690,22,NC_047159.1,29162690,Length,29157690,
NC_047159.1.29163394,34,NC_047159.1,29163394,Length,,
NC_047159.1.29163729,47,NC_047159.1,29163729,Age,,
NC_047159.1.29165067,25,NC_047159.1,29165067,Age,,
NC_047159.1.29165076,30,NC_047159.1,29165076,Length,,
NC_047159.1.29166055,29,NC_047159.1,29166055,Age,29171055,
NC_047161.1.22178599,30,NC_047161.1,22178599,Length,22173599,
NC_047161.1.22184064,22,NC_047161.1,22184064,Length,22189064,
NC_047163.1.21495116,49,NC_047163.1,21495116,Age,21490116,21500116
NC_047163.1.29066999,58,NC_047163.1,29066999,Length,29061999,
NC_047163.1.29069978,31,NC_047163.1,29069978,Length,,
NC_047163.1.29070020,64,NC_047163.1,29070020,Age,29075020,
NC_047164.1.24801420,44,NC_047164.1,24801420,Age,24796420,24806420
NC_047165.1.908834,27,NC_047165.1,908834,Age,903834,
NC_047165.1.912025,23,NC_047165.1,912025,Length,917025,
NC_047165.1.15411811,23,NC_047165.1,15411811,Length,15406811,
NC_047165.1.15411905,25,NC_047165.1,15411905,Length,,
NC_047165.1.15412284,37,NC_047165.1,15412284,Length,15417284,
NC_047167.1.11015433,50,NC_047167.1,11015433,Length,11010433,11020433
NC_047168.1.480431,53,NC_047168.1,480431,Length,475431,485431
NC_047171.1.15408567,23,NC_047171.1,15408567,Length,15403567,
NC_047171.1.15409282,26,NC_047171.1,15409282,Length,,
NC_047171.1.15409738,29,NC_047171.1,15409738,Length,15414738,
NC_047171.1.25040373,83,NC_047171.1,25040373,Length,25035373,
NC_047171.1.25040377,22,NC_047171.1,25040377,Length,,
NC_047171.1.25040474,40,NC_047171.1,25040474,Length,,
NC_047171.1.25040623,33,NC_047171.1,25040623,Length,25045623,
NC_047172.1.24804623,46,NC_047172.1,24804623,Age,24799623,
NC_047172.1.24835778,27,NC_047172.1,24835778,Length,,
NC_047172.1.24895667,54,NC_047172.1,24895667,Length,24900667,
NC_047172.1.26290161,65,NC_047172.1,26290161,Length,26285161,
NC_047172.1.26290162,34,NC_047172.1,26290162,Age,,
NC_047172.1.26299324,37,NC_047172.1,26299324,Age,,
NC_047172.1.26300329,23,NC_047172.1,26300329,Length,,
NC_047172.1.26300378,47,NC_047172.1,26300378,Length,,
NC_047172.1.26301048,47,NC_047172.1,26301048,Length,,
NC_047172.1.26302348,22,NC_047172.1,26302348,Age,,
NC_047172.1.26305026,69,NC_047172.1,26305026,Length,,
NC_047172.1.26306357,51,NC_047172.1,26306357,Length,,
NC_047172.1.26306698,45,NC_047172.1,26306698,Length,,
NC_047172.1.26307362,27,NC_047172.1,26307362,Age,,
NC_047172.1.26309369,27,NC_047172.1,26309369,Length,,
NC_047172.1.26311042,60,NC_047172.1,26311042,Length,,
NC_047172.1.26311377,40,NC_047172.1,26311377,Length,26316377,
NC_047174.1.21423903,96,NC_047174.1,21423903,Length,21418903,
NC_047174.1.21427009,49,NC_047174.1,21427009,Length,,
NC_047174.1.21429982,41,NC_047174.1,21429982,Length,,
NC_047174.1.21430656,26,NC_047174.1,21430656,Length,,
NC_047174.1.21431627,57,NC_047174.1,21431627,Length,,
NC_047174.1.21434992,38,NC_047174.1,21434992,Age,,
NC_047174.1.21435011,55,NC_047174.1,21435011,Length,,
NC_047174.1.21435055,62,NC_047174.1,21435055,Length,,
NC_047174.1.21435056,93,NC_047174.1,21435056,Length,21440056,
