CpGlist_best,n
NC_047151.1.15471,100
NC_047151.1.5724,100
NC_047155.1.30745807,100
NC_047151.1.7401,96
NC_047151.1.6425,85
NC_047151.1.9078,83
NC_047153.1.32666785,81
NC_047159.1.29163729,63
NC_047159.1.29166055,63
NC_047153.1.32669800,61
NC_047151.1.6754,54
NC_047153.1.32663347,53
NC_047163.1.29070020,53
NC_047155.1.30745713,50
NC_047151.1.4742,49
NC_047172.1.26299324,39
NC_047151.1.10785,38
NC_047153.1.32668700,35
NC_047151.1.11120,27
NC_047155.1.30745720,23
NC_047174.1.21424575,21
NC_047153.1.32674400,19
NC_047163.1.29069872,19
NC_047151.1.14473,18
NC_047151.1.11792,16
NC_047153.1.32666784,15
NC_047155.1.30745806,14
NC_047159.1.29165067,14
NC_047172.1.26306357,14
NC_047172.1.26307362,14
NC_047151.1.10551,13
NC_047153.1.32663007,12
NC_047172.1.26308364,12
NC_047153.1.32663683,11
NC_047153.1.32673737,11
NC_047172.1.26305019,11
NC_047172.1.26311042,11
NC_047172.1.26302674,10
NC_047164.1.24801420,9
NC_047172.1.26306028,9
NC_047172.1.26307361,9
NC_047151.1.380,8
NC_047151.1.9773,8
NC_047153.1.32663014,8
NC_047153.1.32673730,8
NC_047153.1.32673761,8
NC_047172.1.24804623,8
NC_047153.1.32663340,7
NC_047153.1.32667718,7
NC_047153.1.32668397,7
NC_047159.1.29162690,7
NC_047172.1.26302348,7
NC_047151.1.3407,6
NC_047153.1.32662721,6
NC_047153.1.32663006,6
NC_047153.1.32673091,6
NC_047155.1.30744495,6
NC_047155.1.30751963,6
NC_047151.1.2369,5
NC_047151.1.9748,5
NC_047153.1.32669736,5
NC_047153.1.32670711,5
NC_047155.1.30749282,5
NC_047159.1.29165094,5
NC_047163.1.29069978,5
NC_047172.1.26307027,5
NC_047174.1.21430614,5
NC_047151.1.3743,4
NC_047151.1.6394,4
NC_047153.1.32666356,4
NC_047153.1.32668365,4
NC_047153.1.32675070,4
NC_047155.1.30747358,4
NC_047155.1.30750614,4
NC_047163.1.21495116,4
NC_047174.1.21430655,4
NC_047151.1.1057,3
NC_047151.1.15143,3
NC_047151.1.7763,3
NC_047151.1.9103,3
NC_047151.1.9439,3
NC_047153.1.32667026,3
NC_047153.1.32668414,3
NC_047155.1.24555900,3
NC_047155.1.30744502,3
NC_047155.1.30747272,3
NC_047172.1.26302681,3
NC_047172.1.26304685,3
NC_047172.1.26305688,3
NC_047172.1.26307703,3
NC_047172.1.26311384,3
NC_047174.1.21424617,3
NC_047174.1.21427009,3
NC_047174.1.21434992,3
NC_047174.1.21435010,3
(Intercept),2
NC_047151.1.10784,2
NC_047151.1.2730,2
NC_047151.1.3072,2
NC_047151.1.5388,2
NC_047151.1.5420,2
NC_047151.1.716,2
NC_047151.1.723,2
NC_047151.1.8744,2
NC_047152.1.3980,2
NC_047153.1.32665016,2
NC_047153.1.32665047,2
NC_047153.1.32668701,2
NC_047153.1.32674735,2
NC_047155.1.30744526,2
NC_047155.1.30749619,2
NC_047155.1.30751962,2
NC_047157.1.603503,2
NC_047163.1.29038110,2
NC_047163.1.29069892,2
NC_047165.1.15412408,2
NC_047167.1.11015458,2
NC_047172.1.26300001,2
NC_047172.1.26300713,2
NC_047172.1.26304014,2
NC_047172.1.26309703,2
NC_047172.1.26309710,2
NC_047151.1.10420,1
NC_047151.1.10451,1
NC_047151.1.1051,1
NC_047151.1.11791,1
NC_047151.1.1387,1
NC_047151.1.1388,1
NC_047151.1.1395,1
NC_047151.1.14466,1
NC_047151.1.15812,1
NC_047151.1.18698598,1
NC_047151.1.3401,1
NC_047151.1.3736,1
NC_047151.1.5052,1
NC_047151.1.5076,1
NC_047151.1.51,1
NC_047151.1.692,1
NC_047151.1.7769,1
NC_047152.1.3973,1
NC_047153.1.32661361,1
NC_047153.1.32665350,1
NC_047153.1.32668125,1
NC_047153.1.32669036,1
NC_047153.1.32669085,1
NC_047153.1.32670710,1
NC_047153.1.32670717,1
NC_047153.1.32673394,1
NC_047153.1.32675071,1
NC_047155.1.30743856,1
NC_047155.1.30744307,1
NC_047155.1.30747265,1
NC_047155.1.30747359,1
NC_047155.1.30748605,1
NC_047155.1.30751986,1
NC_047159.1.29165045,1
NC_047159.1.29165076,1
NC_047163.1.29037770,1
NC_047163.1.29038111,1
NC_047163.1.29066032,1
NC_047165.1.15409325,1
NC_047165.1.910187,1
NC_047171.1.15407156,1
NC_047171.1.15409419,1
NC_047171.1.25040623,1
NC_047172.1.26290162,1
NC_047172.1.26293714,1
NC_047172.1.26299331,1
NC_047172.1.26300670,1
NC_047172.1.26301677,1
NC_047172.1.26304021,1
NC_047172.1.26306364,1
NC_047172.1.26307034,1
NC_047172.1.26308372,1
NC_047172.1.26309369,1
NC_047172.1.26309418,1
NC_047174.1.21425138,1
NC_047174.1.21429598,1
NC_047174.1.21431327,1
NC_047174.1.21432290,1
NC_047174.1.21435055,1
NC_047174.1.21435056,1
