"CpGlist_best","n","ModelType"
"NC_047152.1.5986",90,"Age"
"NC_047153.1.32669800",88,"Age"
"NC_047172.1.26307361",85,"Age"
"NC_047151.1.10785",81,"Age"
"NC_047170.1.1470",71,"Age"
"NC_047151.1.11792",67,"Age"
"NC_047172.1.26293714",62,"Age"
"NC_047155.1.30751619",61,"Age"
"NC_047155.1.30750614",54,"Age"
"(Intercept)",49,"Age"
"NC_047169.1.16885311",48,"Age"
"NC_047172.1.26308364",45,"Age"
"NC_047174.1.21431948",45,"Age"
"NC_047172.1.26303009",44,"Age"
"NC_047174.1.21430655",44,"Age"
"NC_047174.1.21435055",43,"Age"
"NC_047153.1.32670710",42,"Age"
"NC_047170.1.1435",37,"Age"
"NC_047170.1.1540",32,"Age"
"NC_047159.1.29170063",30,"Age"
"NC_047164.1.24801420",30,"Age"
"NC_047172.1.26293982",29,"Age"
"NC_047155.1.24555900",28,"Age"
"NC_047161.1.22201614",27,"Age"
"NC_047155.1.30747359",26,"Age"
"NC_047165.1.910853",26,"Age"
"NC_047155.1.30745806",25,"Age"
"NC_047155.1.30748605",25,"Age"
"NC_047170.1.1363",24,"Age"
"NC_047172.1.26294006",24,"Age"
"NC_047163.1.18713047",23,"Age"
"NC_047155.1.30748169",22,"Age"
"NC_047153.1.32663340",21,"Age"
"NC_047155.1.30745807",21,"Age"
"(Intercept)",100,"Length"
"NC_047172.1.26293714",98,"Length"
"NC_047151.1.51",96,"Length"
"NC_047151.1.9880",87,"Length"
"NC_047172.1.26305360",86,"Length"
"NC_047151.1.3735",81,"Length"
"NC_047172.1.26305253",75,"Length"
"NC_047174.1.21423903",72,"Length"
"NC_047155.1.30751668",65,"Length"
"NC_047153.1.32666785",64,"Length"
"NC_047151.1.13802",61,"Length"
"NC_047153.1.32666356",58,"Length"
"NC_047155.1.30740795",57,"Length"
"NC_047155.1.30744502",56,"Length"
"NC_047151.1.10551",55,"Length"
"NC_047153.1.32664060",55,"Length"
"NC_047157.1.604941",52,"Length"
"NC_047168.1.480431",49,"Length"
"NC_047153.1.32668125",48,"Length"
"NC_047153.1.32668795",42,"Length"
"NC_047153.1.32673649",42,"Length"
"NC_047174.1.21428354",38,"Length"
"NC_047174.1.21427009",37,"Length"
"NC_047164.1.2171813",35,"Length"
"NC_047174.1.21425138",35,"Length"
"NC_047153.1.32666836",31,"Length"
"NC_047174.1.21422892",31,"Length"
"NC_047164.1.2171775",30,"Length"
"NC_047165.1.15412428",30,"Length"
"NC_047153.1.31186743",27,"Length"
"NC_047159.1.29160008",26,"Length"
"NC_047172.1.26288943",26,"Length"
"NC_047151.1.4413",25,"Length"
"NC_047172.1.26300378",24,"Length"
"NC_047165.1.907148",23,"Length"
"NC_047153.1.32668366",22,"Length"
"NC_047155.1.30747359",22,"Length"
"NC_047159.1.29159906",22,"Length"
"NC_047151.1.10785",21,"Length"
"NC_047151.1.15478",21,"Length"
"NC_047151.1.3072",21,"Length"
"NC_047153.1.32669799",21,"Length"
"NC_047153.1.32675405",21,"Length"
