Assembly Accession	Assembly-unit name	Chromosome name	GC Count	GC Percent	GenBank seq accession	Molecule type	Ordering	RefSeq seq accession	Role	Seq length	UCSC style name	Unlocalized Count	Sequence name
GCF_009819705.1	Primary Assembly	1	12692293	42	CM020190.1	Chromosome		NC_047151.1	assembled-molecule	30597443			S9
GCF_009819705.1	Primary Assembly	2	4990287	44	CM020191.1	Chromosome		NC_047152.1	assembled-molecule	11297635			S24
GCF_009819705.1	Primary Assembly	3	13490800	41.5	CM020192.1	Chromosome		NC_047153.1	assembled-molecule	32675587			S1
GCF_009819705.1	Primary Assembly	4	11909600	42	CM020193.1	Chromosome		NC_047154.1	assembled-molecule	28512877			S7
GCF_009819705.1	Primary Assembly	5	12755273	42	CM020194.1	Chromosome		NC_047155.1	assembled-molecule	30753830			S2
GCF_009819705.1	Primary Assembly	6	11946579	42	CM020195.1	Chromosome		NC_047156.1	assembled-molecule	28531750			S4
GCF_009819705.1	Primary Assembly	7	11922083	42	CM020196.1	Chromosome		NC_047157.1	assembled-molecule	28364880			S6
GCF_009819705.1	Primary Assembly	8	10016915	42.5	CM020197.1	Chromosome		NC_047158.1	assembled-molecule	23524515			S15
GCF_009819705.1	Primary Assembly	9	12208981	42	CM020198.1	Chromosome		NC_047159.1	assembled-molecule	29170869			S3
GCF_009819705.1	Primary Assembly	10	11529507	42	CM020199.1	Chromosome		NC_047160.1	assembled-molecule	27686247			S5
GCF_009819705.1	Primary Assembly	11	9452009	42.5	CM020200.1	Chromosome		NC_047161.1	assembled-molecule	22214583			S12
GCF_009819705.1	Primary Assembly	12	8955734	42	CM020201.1	Chromosome		NC_047162.1	assembled-molecule	21256114			S18
GCF_009819705.1	Primary Assembly	13	12178836	42	CM020202.1	Chromosome		NC_047163.1	assembled-molecule	29083852			S22
GCF_009819705.1	Primary Assembly	14	10347546	42	CM020203.1	Chromosome		NC_047164.1	assembled-molecule	24953334			S11
GCF_009819705.1	Primary Assembly	15	10614894	42	CM020204.1	Chromosome		NC_047165.1	assembled-molecule	25621292			S16
GCF_009819705.1	Primary Assembly	16	11428990	42	CM020205.1	Chromosome		NC_047166.1	assembled-molecule	27148517			S8
GCF_009819705.1	Primary Assembly	17	10416465	42	CM020206.1	Chromosome		NC_047167.1	assembled-molecule	24735652			S10
GCF_009819705.1	Primary Assembly	18	7141621	43	CM020207.1	Chromosome		NC_047168.1	assembled-molecule	16627714			S23
GCF_009819705.1	Primary Assembly	19	8892872	42.5	CM020208.1	Chromosome		NC_047169.1	assembled-molecule	20912647			S19
