"CpGlist_best","type"
"(Intercept)","Age"
"NC_047151.1.10785","Age"
"NC_047151.1.11792","Age"
"NC_047152.1.5986","Age"
"NC_047153.1.32669085","Age"
"NC_047155.1.30745806","Age"
"NC_047155.1.30751619","Age"
"NC_047159.1.29169109","Age"
"NC_047169.1.16885311","Age"
"NC_047172.1.26303009","Age"
"NC_047172.1.26307361","Age"
"NC_047172.1.26308037","Age"
"NC_047172.1.26308364","Age"
"NC_047174.1.21431948","Age"
"NC_047153.1.32663007","Age"
"NC_047153.1.32669800","Age"
"NC_047153.1.32670711","Age"
"NC_047155.1.30747359","Age"
"NC_047172.1.26293851","Age"
"NC_047172.1.26294006","Age"
"NC_047172.1.26303729","Age"
"NC_047174.1.21435055","Age"
"NC_047153.1.32668701","Age"
"NC_047172.1.26305688","Age"
"NC_047152.1.2310","Age"
"NC_047153.1.32666784","Age"
"NC_047151.1.6425","Age"
"NC_047153.1.32666785","Age"
"NC_047153.1.32668125","Age"
"NC_047155.1.30750614","Age"
"NC_047155.1.30745807","Age"
"NC_047155.1.30748605","Age"
"NC_047164.1.24801420","Age"
"NC_047170.1.1540","Age"
"NC_047172.1.26293714","Age"
"NC_047163.1.29038111","Age"
"NC_047151.1.13802","Age"
"NC_047153.1.32675405","Age"
"NC_047155.1.30746049","Age"
"NC_047159.1.29170063","Age"
"NC_047172.1.26302674","Age"
"NC_047172.1.26305360","Age"
"NC_047153.1.32673779","Age"
"NC_047172.1.26304014","Age"
"NC_047155.1.30747358","Age"
"NC_047153.1.32668365","Age"
"NC_047152.1.7322","Age"
"NC_047172.1.26293982","Age"
"NC_047172.1.26302005","Age"
"NC_047172.1.26307027","Age"
"NC_047159.1.29165379","Age"
"NC_047161.1.22201614","Age"
"NC_047172.1.26303711","Age"
"NC_047151.1.9880","Age"
"(Intercept)","Length"
"NC_047151.1.10450","Length"
"NC_047151.1.51","Length"
"NC_047151.1.9880","Length"
"NC_047151.1.10785","Length"
"NC_047151.1.15478","Length"
"NC_047153.1.32663006","Length"
"NC_047153.1.32666784","Length"
"NC_047153.1.32668365","Length"
"NC_047153.1.32668125","Length"
"NC_047155.1.30745806","Length"
"NC_047155.1.30747359","Length"
"NC_047155.1.30749276","Length"
"NC_047159.1.29162690","Length"
"NC_047159.1.29165379","Length"
"NC_047172.1.26305360","Length"
"NC_047172.1.26293667","Length"
"NC_047172.1.26293714","Length"
"NC_047172.1.26301670","Length"
"NC_047172.1.26308365","Length"
"NC_047174.1.21435055","Length"
"NC_047151.1.13802","Length"
"NC_047151.1.6425","Length"
"NC_047151.1.9109","Length"
"NC_047153.1.32669799","Length"
"NC_047153.1.32663240","Length"
"NC_047153.1.32666785","Length"
"NC_047155.1.30751619","Length"
"NC_047155.1.30751668","Length"
"NC_047155.1.30748270","Length"
"NC_047172.1.26293851","Length"
"NC_047151.1.11792","Length"
"NC_047155.1.30749283","Length"
"NC_047172.1.26299325","Length"
"NC_047151.1.10114","Length"
"NC_047153.1.32668795","Length"
"NC_047153.1.32675070","Length"
"NC_047153.1.32663007","Length"
"NC_047153.1.32664346","Length"
"NC_047153.1.32668701","Length"
"NC_047153.1.32673731","Length"
"NC_047155.1.30748301","Length"
"NC_047159.1.29162356","Length"
"NC_047172.1.26300378","Length"
"NC_047151.1.387","Length"
"NC_047153.1.32664011","Length"
"NC_047153.1.32674970","Length"
"NC_047155.1.30751184","Length"
"NC_047155.1.30750615","Length"
"NC_047159.1.29159369","Length"
"NC_047151.1.11121","Length"
"NC_047153.1.32675406","Length"
"NC_047172.1.26311042","Length"
"NC_047174.1.21428595","Length"
"NC_047172.1.26303345","Length"
"NC_047151.1.1394","Length"
"NC_047155.1.30747265","Length"
"NC_047155.1.30748277","Length"
"NC_047159.1.29160343","Length"
"NC_047153.1.32669800","Length"
"NC_047155.1.30750280","Length"
"NC_047155.1.30750950","Length"
"NC_047151.1.10551","Length"
"NC_047172.1.26302005","Length"
"NC_047172.1.26306357","Length"
"NC_047172.1.26308364","Length"
"NC_047172.1.26303009","Length"
"NC_047153.1.32673649","Length"
"NC_047172.1.26311377","Length"
"NC_047151.1.10451","Length"
"NC_047153.1.32672287","Length"
