"CpGlist_best","n"
"NC_047152.1.5986",90
"NC_047169.1.16885311",84
"NC_047174.1.21431948",79
"NC_047151.1.10785",78
"NC_047153.1.32669800",78
"NC_047172.1.26308364",72
"NC_047172.1.26305688",65
"NC_047172.1.26307361",65
"NC_047151.1.6425",58
"NC_047174.1.21435055",54
"NC_047151.1.11792",51
"NC_047172.1.26293714",51
"NC_047155.1.30745807",50
"NC_047170.1.1540",47
"NC_047161.1.22201614",43
"NC_047164.1.24801420",42
"NC_047172.1.26294006",37
"NC_047172.1.26303009",37
"NC_047153.1.32668125",35
"NC_047155.1.30747359",35
"NC_047155.1.30748605",33
"(Intercept)",31
"NC_047153.1.32670711",30
"NC_047152.1.2310",27
"NC_047155.1.30751619",27
"NC_047153.1.32666785",26
"NC_047155.1.24555900",25
"NC_047155.1.30750614",23
"NC_047163.1.29038111",23
"NC_047155.1.30745806",22
"NC_047165.1.910853",22
"(Intercept)",99
"NC_047172.1.26293714",98
"NC_047155.1.30751668",87
"NC_047151.1.9880",84
"NC_047151.1.10551",76
"NC_047153.1.32666785",76
"NC_047151.1.51",74
"NC_047153.1.32673649",74
"NC_047174.1.21435055",69
"NC_047151.1.10785",66
"NC_047155.1.30747359",64
"NC_047172.1.26305253",57
"NC_047153.1.32668125",54
"NC_047172.1.26306357",49
"NC_047153.1.32664060",46
"NC_047153.1.32672287",41
"NC_047168.1.480431",41
"NC_047159.1.29162690",40
"NC_047151.1.26569",39
"NC_047151.1.15478",37
"NC_047172.1.26293851",36
"NC_047153.1.32668795",34
"NC_047151.1.1394",32
"NC_047172.1.26288943",32
"NC_047151.1.8440",30
"NC_047159.1.29161347",29
"NC_047161.1.22177668",29
"NC_047172.1.26305360",28
"NC_047153.1.32674970",27
"NC_047159.1.29165379",27
"NC_047172.1.26293667",27
"NC_047151.1.15143",26
"NC_047153.1.32666836",26
"NC_047155.1.30748991",26
"NC_047172.1.26305051",26
"NC_047153.1.32663006",25
"NC_047161.1.22201977",25
"NC_047163.1.29059178",23
"NC_047172.1.23884696",23
"NC_047151.1.13802",22
"NC_047153.1.32675405",22
"NC_047171.1.25035665",21
"NC_047172.1.26311042",21
