CHROM StartPOS EndPOS
NC_047151.1 1 407
NC_047151.1 5524 5924
NC_047151.1 6225 6625
NC_047151.1 6554 6954
NC_047151.1 7201 7601
NC_047151.1 7906 8306
NC_047151.1 8878 9278
NC_047151.1 8909 9309
NC_047151.1 10351 10751
NC_047151.1 14273 14673
NC_047151.1 14936 15336
NC_047151.1 14943 15343
NC_047151.1 624938 625338
NC_047151.1 904700 905100
NC_047151.1 1349009 1349409
NC_047151.1 1503988 1504388
NC_047151.1 2033398 2033798
NC_047151.1 2082962 2083362
NC_047151.1 2102331 2102731
NC_047151.1 2137732 2138132
NC_047151.1 2238678 2239078
NC_047151.1 2525268 2525668
NC_047151.1 2863757 2864157
NC_047151.1 3176472 3176872
NC_047151.1 3210333 3210733
NC_047151.1 3296354 3296754
NC_047151.1 3432589 3432989
NC_047151.1 3577941 3578341
NC_047151.1 3722124 3722524
NC_047151.1 3864313 3864713
NC_047151.1 3996465 3996865
NC_047151.1 4203102 4203502
NC_047151.1 4426504 4426904
NC_047151.1 5418085 5418485
NC_047151.1 5626137 5626537
NC_047151.1 6234216 6234616
NC_047151.1 6316490 6316890
NC_047151.1 6802720 6803120
NC_047151.1 6876969 6877369
NC_047151.1 6933786 6934186
NC_047151.1 7167539 7167939
NC_047151.1 7432097 7432497
NC_047151.1 7595248 7595648
NC_047151.1 7613637 7614037
NC_047151.1 7829192 7829592
NC_047151.1 7915465 7915865
NC_047151.1 8496190 8496590
NC_047151.1 8506194 8506594
NC_047151.1 8616810 8617210
NC_047151.1 10472758 10473158
NC_047151.1 10607856 10608256
NC_047151.1 10620333 10620733
NC_047151.1 10662827 10663227
NC_047151.1 10865814 10866214
NC_047151.1 10974772 10975172
NC_047151.1 10998074 10998474
NC_047151.1 11297940 11298340
NC_047151.1 11390492 11390892
NC_047151.1 11503924 11504324
NC_047151.1 11796399 11796799
NC_047151.1 12412039 12412439
NC_047151.1 12592271 12592671
NC_047151.1 12704392 12704792
NC_047151.1 12963520 12963920
NC_047151.1 13291611 13292011
NC_047151.1 13347084 13347484
NC_047151.1 13459421 13459821
NC_047151.1 13498167 13498567
NC_047151.1 13840893 13841293
NC_047151.1 13942045 13942445
NC_047151.1 14295239 14295639
NC_047151.1 14374458 14374858
NC_047151.1 14407730 14408130
NC_047151.1 14434705 14435105
NC_047151.1 14582420 14582820
NC_047151.1 15318009 15318409
NC_047151.1 15666910 15667310
NC_047151.1 15820456 15820856
NC_047151.1 16145099 16145499
NC_047151.1 16558032 16558432
NC_047151.1 16787124 16787524
NC_047151.1 16839111 16839511
NC_047151.1 17477362 17477762
NC_047151.1 18352909 18353309
NC_047151.1 18602983 18603383
NC_047151.1 18682406 18682806
NC_047151.1 19212438 19212838
NC_047151.1 19229719 19230119
NC_047151.1 20028599 20028999
NC_047151.1 20416876 20417276
NC_047151.1 20563308 20563708
NC_047151.1 20611820 20612220
NC_047151.1 20767960 20768360
NC_047151.1 20940565 20940965
NC_047151.1 20950478 20950878
NC_047151.1 21054023 21054423
NC_047151.1 21122650 21123050
NC_047151.1 21227854 21228254
NC_047151.1 21580469 21580869
NC_047151.1 21765015 21765415
NC_047151.1 21875640 21876040
NC_047151.1 22028264 22028664
NC_047151.1 22066751 22067151
NC_047151.1 22087309 22087709
NC_047151.1 22291328 22291728
NC_047151.1 22328730 22329130
NC_047151.1 22468298 22468698
NC_047151.1 22488369 22488769
NC_047151.1 22569958 22570358
NC_047151.1 22607553 22607953
NC_047151.1 22762171 22762571
NC_047151.1 22936708 22937108
NC_047151.1 23322500 23322900
NC_047151.1 23643445 23643845
NC_047151.1 23733011 23733411
NC_047151.1 23956387 23956787
NC_047151.1 24070708 24071108
NC_047151.1 24371142 24371542
NC_047151.1 24404014 24404414
NC_047151.1 24447419 24447819
NC_047151.1 24459827 24460227
NC_047151.1 24468419 24468819
NC_047151.1 24599934 24600334
NC_047151.1 24646898 24647298
NC_047151.1 24795543 24795943
NC_047151.1 24873451 24873851
NC_047151.1 25138854 25139254
NC_047151.1 25195257 25195657
NC_047151.1 25224674 25225074
NC_047151.1 25241036 25241436
NC_047151.1 25261794 25262194
NC_047151.1 25463220 25463620
NC_047151.1 26023136 26023536
NC_047151.1 26067835 26068235
NC_047151.1 26084206 26084606
NC_047151.1 26399392 26399792
NC_047151.1 26471309 26471709
NC_047151.1 26717929 26718329
NC_047151.1 26729259 26729659
NC_047151.1 26847286 26847686
NC_047151.1 27015891 27016291
NC_047151.1 27062797 27063197
NC_047151.1 27267205 27267605
NC_047151.1 27296723 27297123
NC_047151.1 27474057 27474457
NC_047151.1 27490138 27490538
NC_047151.1 27714233 27714633
NC_047151.1 27905511 27905911
NC_047151.1 28011614 28012014
NC_047151.1 28080604 28081004
NC_047151.1 28221966 28222366
NC_047151.1 28287807 28288207
NC_047151.1 28306477 28306877
NC_047151.1 28341198 28341598
NC_047151.1 28369508 28369908
NC_047151.1 28884460 28884860
NC_047151.1 28937841 28938241
NC_047151.1 29137652 29138052
NC_047151.1 29172819 29173219
NC_047151.1 29597444 29597844
NC_047151.1 29612251 29612651
NC_047151.1 29639126 29639526
NC_047151.1 29675797 29676197
NC_047151.1 29711769 29712169
NC_047151.1 29752771 29753171
NC_047151.1 29777535 29777935
NC_047151.1 30163541 30163941
NC_047151.1 30443517 30443917
NC_047151.1 30458999 30459399
NC_047151.1 30478225 30478625
NC_047151.1 30478225 30478625
NC_047153.1 304006 389323
NC_047153.1 446123 446523
NC_047153.1 582400 582800
NC_047153.1 603910 604310
NC_047153.1 763078 763478
NC_047153.1 828966 829366
NC_047153.1 883632 884032
NC_047153.1 897360 897760
NC_047153.1 1162521 1162921
NC_047153.1 1243122 1243522
NC_047153.1 1256874 1257274
NC_047153.1 1278372 1278772
NC_047153.1 1348761 1349161
NC_047153.1 1364967 1365367
NC_047153.1 1484044 1484444
NC_047153.1 1509356 1509756
NC_047153.1 1525680 1526080
NC_047153.1 1614082 1614482
NC_047153.1 1681305 1681705
NC_047153.1 2136137 2136537
NC_047153.1 2151320 2151720
NC_047153.1 2160515 2160915
NC_047153.1 2216674 2217074
NC_047153.1 2474571 2474971
NC_047153.1 2741988 2742388
NC_047153.1 2750897 2751297
NC_047153.1 2762327 2762727
NC_047153.1 2782376 2782776
NC_047153.1 2914761 2915161
NC_047153.1 2964990 2965390
NC_047153.1 3010667 3011067
